,event,duration,container,cloud,environment,exp_size,exp_type,experiment
59,pulled,40.372,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
60,pulled,40.303,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
61,pulled,40.5,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
62,pulled,40.322,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
63,pulled,38.765,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
64,pulled,40.997,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
65,pulled,38.879,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
66,pulled,38.504,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
67,pulled,37.621,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
68,pulled,37.918,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
69,pulled,40.49,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
70,pulled,39.529,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
71,pulled,38.524,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
72,pulled,38.964,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
73,pulled,38.134,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
74,pulled,39.816,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
75,pulled,38.481,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
76,pulled,38.817,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
77,pulled,38.316,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
78,pulled,39.368,ghcr.io/converged-computing/metric-amg2023:spack-slim-cpu-int64-zen3,google,gke,size64,cpu,google/gke/cpu/size64
