,event,duration,container,cloud,environment,exp_size,exp_type,experiment
106,pulled,2.174,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
107,pulled,2.208,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
108,pulled,2.116,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
109,pulled,2.831,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
429,pulled,2.549,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
430,pulled,2.503,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
431,pulled,2.38,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
432,pulled,2.529,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
433,pulled,2.353,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
434,pulled,2.336,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
435,pulled,2.189,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
436,pulled,2.212,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
437,pulled,2.194,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
438,pulled,2.233,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
439,pulled,2.205,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
440,pulled,2.173,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
441,pulled,2.171,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
442,pulled,2.208,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
683,pulled,23.917,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
684,pulled,2.246,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
944,pulled,2.157,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
945,pulled,2.297,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
946,pulled,2.953,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
947,pulled,2.238,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
948,pulled,5.824,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
949,pulled,2.196,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
950,pulled,2.188,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
951,pulled,5.882,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
952,pulled,5.879,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
953,pulled,5.758,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
954,pulled,23.897,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1230,pulled,2.549,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1231,pulled,2.503,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1232,pulled,2.38,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1233,pulled,2.529,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1234,pulled,2.353,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1235,pulled,2.336,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1236,pulled,2.189,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1237,pulled,2.212,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1238,pulled,2.194,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1239,pulled,2.233,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1240,pulled,2.205,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1241,pulled,2.173,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1242,pulled,2.171,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1243,pulled,2.208,ghcr.io/converged-computing/metric-laghos:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1794,pulled,123.86,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1795,pulled,115.495,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1796,pulled,115.485,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1797,pulled,126.892,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1798,pulled,116.316,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1799,pulled,115.62899999999999,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1800,pulled,116.19800000000001,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
1801,pulled,127.394,ghcr.io/converged-computing/metric-laghos:gpu-zen4,google,gke,size8,gpu,google/gke/gpu/size8
2351,pulled,1.615163307,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2352,pulled,1.580946055,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2353,pulled,1.656012223,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2354,pulled,1.611450781,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2568,pulled,1.722011466,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2569,pulled,1.871459377,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2570,pulled,1.815158566,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2571,pulled,1.60067544,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2572,pulled,1.725413885,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2573,pulled,1.588264314,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2574,pulled,1.598625237,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2575,pulled,1.622443194,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2576,pulled,1.845269909,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2577,pulled,1.606437792,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2578,pulled,1.65951949,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2579,pulled,1.612295683,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2580,pulled,1.591065358,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2864,pulled,1.617120594,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size128,cpu,aws/eks/cpu/size128
2865,pulled,1.588964391,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size128,cpu,aws/eks/cpu/size128
3003,pulled,1.593131151,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size256,cpu,aws/eks/cpu/size256
3004,pulled,1.636641506,ghcr.io/converged-computing/metric-laghos:libfabric-cpu-zen4,aws,eks,size256,cpu,aws/eks/cpu/size256
3043,pulled,23.444415963,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3044,pulled,23.396482803,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3045,pulled,25.733602234,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3046,pulled,23.175456752,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3047,pulled,22.916033587,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3048,pulled,23.121535932,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3049,pulled,23.439666788,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3050,pulled,22.492156699,ghcr.io/converged-computing/metric-laghos:libfabric-gpu-zen4,aws,eks,size16,gpu,aws/eks/gpu
3416,pulled,2.767,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3417,pulled,2.246,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3418,pulled,2.507,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3419,pulled,2.158,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3420,pulled,2.726,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3421,pulled,2.663,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3422,pulled,2.312,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3423,pulled,2.255,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3424,pulled,2.463,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3425,pulled,2.186,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64,cpu,azure/aks/cpu/size64
3575,pulled,2.115,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3576,pulled,2.202,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3577,pulled,2.127,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3578,pulled,2.408,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3579,pulled,2.188,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3580,pulled,2.077,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3581,pulled,2.208,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3582,pulled,2.252,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3583,pulled,2.116,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3584,pulled,2.12,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3585,pulled,2.173,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3586,pulled,2.309,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3587,pulled,2.058,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32-placement,cpu,azure/aks/cpu/size32-placement
3844,pulled,2.126,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3845,pulled,2.201,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3846,pulled,2.301,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3847,pulled,2.136,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3848,pulled,2.121,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3849,pulled,2.096,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3850,pulled,2.216,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3851,pulled,2.152,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3852,pulled,2.1,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3853,pulled,2.138,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
3854,pulled,2.071,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size32,cpu,azure/aks/cpu/size32
4456,pulled,2.115,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4457,pulled,2.202,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4458,pulled,2.127,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4459,pulled,2.408,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4460,pulled,2.188,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4461,pulled,2.077,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4462,pulled,2.208,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4463,pulled,2.252,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4464,pulled,2.116,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4465,pulled,2.12,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
4466,pulled,2.173,ghcr.io/converged-computing/metric-laghos:azure-hpc,azure,aks,size64-placement,cpu,azure/aks/cpu/size64-placement
