,event,duration,container,cloud,environment,exp_size,exp_type,experiment
110,pulled,16.391,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
111,pulled,16.369,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
112,pulled,16.235,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
113,pulled,16.1,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
114,pulled,16.307,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
115,pulled,16.301,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
116,pulled,16.297,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
117,pulled,15.768,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
118,pulled,16.474,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
119,pulled,15.275,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
120,pulled,14.958,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
121,pulled,14.918,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
122,pulled,15.165,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
123,pulled,15.838,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
124,pulled,15.975,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
125,pulled,14.09,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
126,pulled,15.271,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
127,pulled,15.106,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
128,pulled,16.167,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
129,pulled,15.665,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
130,pulled,16.348,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
131,pulled,14.65,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
443,pulled,20.762,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
444,pulled,14.347,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
445,pulled,14.878,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
446,pulled,15.003,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
447,pulled,14.278,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
448,pulled,14.14,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
449,pulled,14.964,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
450,pulled,14.363,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
451,pulled,14.035,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
452,pulled,14.721,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
453,pulled,14.684,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
454,pulled,13.744,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
455,pulled,13.697,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
456,pulled,13.599,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
457,pulled,13.778,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
458,pulled,12.135,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
459,pulled,11.913,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
460,pulled,13.945,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
461,pulled,13.97,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
462,pulled,12.767,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
463,pulled,13.195,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
464,pulled,13.517,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
465,pulled,14.398,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
466,pulled,14.523,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
467,pulled,13.664,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
468,pulled,13.908,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
469,pulled,14.208,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
470,pulled,13.603,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
471,pulled,13.867,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
472,pulled,14.46,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
473,pulled,14.039,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
474,pulled,13.188,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
685,pulled,26.183,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
686,pulled,26.447,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
687,pulled,26.568,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
688,pulled,25.931,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
689,pulled,26.777,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
690,pulled,26.221,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
691,pulled,26.792,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
692,pulled,25.714,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
693,pulled,23.048,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
694,pulled,21.61,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
695,pulled,24.07,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
696,pulled,20.926,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
697,pulled,20.928,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
698,pulled,21.942,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
699,pulled,24.773,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
700,pulled,25.252,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
701,pulled,24.478,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
702,pulled,25.788,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
703,pulled,23.374,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
704,pulled,23.865,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
705,pulled,26.114,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
706,pulled,22.228,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
707,pulled,24.732,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
708,pulled,23.347,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
709,pulled,21.56,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
710,pulled,26.35,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
711,pulled,25.672,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
712,pulled,24.236,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
955,pulled,35.927,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
956,pulled,35.786,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
957,pulled,33.437,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
958,pulled,18.574,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
959,pulled,18.503,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
960,pulled,18.429,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
961,pulled,19.239,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
962,pulled,18.97,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
963,pulled,18.856,ghcr.io/converged-computing/metric-lammps-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
