,event,duration,container,cloud,environment,exp_size,exp_type,experiment
202,pulled,13.552,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
203,pulled,13.783,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
204,pulled,13.846,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
205,pulled,13.284,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
206,pulled,12.795,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
207,pulled,12.983,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
208,pulled,11.766,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
209,pulled,13.674,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
210,pulled,11.645,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
211,pulled,11.886,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
212,pulled,14.031,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
213,pulled,11.455,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
214,pulled,12.837,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
215,pulled,13.412,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
216,pulled,12.876,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
217,pulled,12.055,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
218,pulled,11.739,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
219,pulled,12.084,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
220,pulled,13.846,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
221,pulled,12.398,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
222,pulled,12.326,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size64,cpu,google/gke/cpu/size64
541,pulled,14.657,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
542,pulled,14.529,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
543,pulled,14.52,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
544,pulled,14.547,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
545,pulled,14.647,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
546,pulled,14.501,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
547,pulled,15.057,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
548,pulled,14.775,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
549,pulled,12.83,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
550,pulled,14.824,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
551,pulled,14.67,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
552,pulled,13.944,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
553,pulled,13.858,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
554,pulled,12.944,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
555,pulled,12.968,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
556,pulled,13.772,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
557,pulled,13.771,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
558,pulled,14.003,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
559,pulled,13.929,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
560,pulled,14.156,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
561,pulled,13.718,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
562,pulled,13.995,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
563,pulled,14.423,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
564,pulled,13.619,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
565,pulled,14.066,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
566,pulled,13.573,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
567,pulled,13.968,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
568,pulled,14.006,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
569,pulled,14.051,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
570,pulled,13.193,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
571,pulled,13.699,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
572,pulled,14.116,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size32,cpu,google/gke/cpu/size32
765,pulled,24.603,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
766,pulled,24.386,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
767,pulled,24.207,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
768,pulled,25.053,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
769,pulled,24.198,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
770,pulled,24.388,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
771,pulled,24.595,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
772,pulled,24.336,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
773,pulled,30.32,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
774,pulled,24.105,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
775,pulled,24.115,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
776,pulled,23.81,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
777,pulled,25.161,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
778,pulled,24.962,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
779,pulled,24.302,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
780,pulled,23.588,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
781,pulled,24.311,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size128,cpu,google/gke/cpu/size128
1045,pulled,67.71,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1046,pulled,61.225,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1047,pulled,58.219,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1048,pulled,67.336,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1049,pulled,61.629,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1050,pulled,56.751,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1051,pulled,60.266,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1052,pulled,62.336,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1053,pulled,62.844,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1054,pulled,58.348,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1055,pulled,56.436,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1056,pulled,64.273,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1057,pulled,62.024,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1058,pulled,66.87,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1059,pulled,56.708,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1060,pulled,63.445,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1061,pulled,67.028,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1062,pulled,62.548,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
1063,pulled,61.974,ghcr.io/converged-computing/metric-osu-cpu:zen4,google,gke,size256,cpu,google/gke/cpu/size256
