,event,duration,container,cloud,environment,exp_size,exp_type,experiment
227,pulled,1.062,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
228,pulled,1.012,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
229,pulled,1.052,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
230,pulled,1.026,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
231,pulled,1.052,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size64,cpu,google/gke/cpu/size64
577,pulled,1.099,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
578,pulled,1.102,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
579,pulled,1.06,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
580,pulled,1.08,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
581,pulled,1.084,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32,cpu,google/gke/cpu/size32
789,pulled,1.042,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
790,pulled,1.037,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
791,pulled,1.059,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
792,pulled,1.024,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
793,pulled,1.022,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
794,pulled,1.039,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
795,pulled,1.037,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
796,pulled,1.022,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size128,cpu,google/gke/cpu/size128
1077,pulled,1.06,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1078,pulled,1.125,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1079,pulled,1.028,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1080,pulled,1.024,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1081,pulled,1.031,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1082,pulled,0.997,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1083,pulled,0.99,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1084,pulled,1.034,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size256,cpu,google/gke/cpu/size256
1378,pulled,1.099,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1379,pulled,1.102,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1380,pulled,1.06,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1381,pulled,1.08,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1382,pulled,1.084,ghcr.io/converged-computing/metric-stream:cpu-zen4,google,gke,size32-shared-memory,cpu,google/gke/cpu/size32-shared-memory
1626,pulled,1.011,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1627,pulled,0.935,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1628,pulled,0.973,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1629,pulled,0.92,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1630,pulled,0.972,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1631,pulled,0.979,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1632,pulled,0.97,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1633,pulled,0.97,ghcr.io/converged-computing/metric-stream:latest,google,gke,size32,gpu,google/gke/gpu/size32
1777,pulled,112.501,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1778,pulled,1.099,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1779,pulled,1.178,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1780,pulled,1.018,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1781,pulled,111.021,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1782,pulled,111.821,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1783,pulled,113.033,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1784,pulled,110.667,ghcr.io/converged-computing/metric-stream:latest,google,gke,size8,gpu,google/gke/gpu/size8
1936,pulled,1.234,ghcr.io/converged-computing/metric-stream:latest,google,gke,size2,gpu,google/gke/gpu/size2
1937,pulled,1.01,ghcr.io/converged-computing/metric-stream:latest,google,gke,size2,gpu,google/gke/gpu/size2
1938,pulled,1.017,ghcr.io/converged-computing/metric-stream:latest,google,gke,size2,gpu,google/gke/gpu/size2
1939,pulled,1.009,ghcr.io/converged-computing/metric-stream:latest,google,gke,size2,gpu,google/gke/gpu/size2
2080,pulled,0.901,ghcr.io/converged-computing/metric-stream:latest,google,gke,size16,gpu,google/gke/gpu/size16
2081,pulled,0.927,ghcr.io/converged-computing/metric-stream:latest,google,gke,size16,gpu,google/gke/gpu/size16
2082,pulled,0.966,ghcr.io/converged-computing/metric-stream:latest,google,gke,size16,gpu,google/gke/gpu/size16
2083,pulled,0.974,ghcr.io/converged-computing/metric-stream:latest,google,gke,size16,gpu,google/gke/gpu/size16
2147,pulled,1.234,ghcr.io/converged-computing/metric-stream:latest,google,gke,size4,gpu,google/gke/gpu/size4
2148,pulled,1.01,ghcr.io/converged-computing/metric-stream:latest,google,gke,size4,gpu,google/gke/gpu/size4
2149,pulled,1.017,ghcr.io/converged-computing/metric-stream:latest,google,gke,size4,gpu,google/gke/gpu/size4
2150,pulled,1.009,ghcr.io/converged-computing/metric-stream:latest,google,gke,size4,gpu,google/gke/gpu/size4
2251,pulled,0.708006362,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2252,pulled,0.769091527,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2253,pulled,0.686082306,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2254,pulled,0.673120514,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size64,cpu,aws/eks/cpu/size64
2458,pulled,0.671459679,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2459,pulled,0.749172251,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
2460,pulled,0.7474047920000001,ghcr.io/converged-computing/metric-stream:libfabric-cpu-zen4,aws,eks,size32,cpu,aws/eks/cpu/size32
