,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value
0,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,seconds,140.72673869132996
1,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,wall_time,132.0
2,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,ranks,3584
3,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,cpu_utilization,67.0
4,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,seconds,139.64802956581116
5,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,wall_time,131.0
6,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,ranks,3584
7,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,cpu_utilization,67.4
8,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,seconds,154.85197639465332
9,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,wall_time,146.0
10,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,ranks,3584
11,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,cpu_utilization,61.3
12,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,seconds,140.37281584739685
13,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,wall_time,131.0
14,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,ranks,3584
15,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,cpu_utilization,66.9
16,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,seconds,139.65953636169434
17,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,wall_time,130.0
18,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,ranks,3584
19,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,cpu_utilization,67.6
20,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,seconds,211.26960015296936
21,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,wall_time,206.0
22,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,ranks,1792
23,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,cpu_utilization,79.8
24,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,seconds,215.38701486587524
25,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,wall_time,211.0
26,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,ranks,1792
27,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,cpu_utilization,78.5
28,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,seconds,209.42085671424866
29,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,wall_time,205.0
30,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,ranks,1792
31,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,cpu_utilization,80.4
32,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,seconds,212.11827659606934
33,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,wall_time,207.0
34,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,ranks,1792
35,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,cpu_utilization,79.6
36,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,seconds,129.22454714775085
37,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,wall_time,102.0
38,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,ranks,7168
39,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,cpu_utilization,48.2
40,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,seconds,130.869038105011
41,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,wall_time,103.0
42,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,ranks,7168
43,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,cpu_utilization,48.0
44,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,seconds,134.49770045280457
45,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,wall_time,106.0
46,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,ranks,7168
47,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,cpu_utilization,46.7
48,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,seconds,129.91354703903198
49,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,wall_time,102.0
50,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,ranks,7168
51,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,cpu_utilization,48.5
52,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,seconds,128.60635137557983
53,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,wall_time,101.0
54,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,ranks,7168
55,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,cpu_utilization,48.8
56,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,seconds,371.9130928516388
57,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,wall_time,279.0
58,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,ranks,14336
59,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,cpu_utilization,16.3
60,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,seconds,371.27147459983826
61,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,wall_time,278.0
62,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,ranks,14336
63,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,cpu_utilization,16.3
64,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,seconds,19.480812788009644
65,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,wall_time,17.0
66,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,ranks,256
67,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,cpu_utilization,67.9
68,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,seconds,24.42403531074524
69,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,wall_time,21.0
70,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,ranks,256
71,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,cpu_utilization,61.7
72,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,seconds,30.980899572372437
73,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,wall_time,28.0
74,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,ranks,256
75,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,cpu_utilization,70.9
76,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,seconds,30.98126745223999
77,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,wall_time,28.0
78,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,ranks,256
79,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,cpu_utilization,70.9
80,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,seconds,24.279096364974976
81,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,wall_time,21.0
82,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,ranks,256
83,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,cpu_utilization,61.9
84,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,seconds,24.313599586486816
85,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,wall_time,21.0
86,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,ranks,256
87,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,cpu_utilization,61.7
88,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,seconds,30.282105445861816
89,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,wall_time,27.0
90,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,ranks,256
91,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,cpu_utilization,71.0
92,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,seconds,24.2374165058136
93,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,wall_time,21.0
94,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,ranks,256
95,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,cpu_utilization,62.2
96,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,seconds,31.15102744102478
97,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,wall_time,28.0
98,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,ranks,256
99,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,cpu_utilization,70.9
100,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,seconds,28.155176162719727
101,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,wall_time,25.0
102,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,ranks,256
103,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,cpu_utilization,71.9
104,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,seconds,40.420807123184204
105,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,wall_time,38.0
106,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,ranks,64
107,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,cpu_utilization,83.5
108,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,seconds,67.73654365539551
109,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,wall_time,65.0
110,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,ranks,64
111,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,cpu_utilization,82.2
112,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,seconds,67.93356227874756
113,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,wall_time,65.0
114,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,ranks,64
115,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,cpu_utilization,82.4
116,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,seconds,68.17432951927185
117,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,wall_time,66.0
118,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,ranks,64
119,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,cpu_utilization,82.2
120,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,seconds,40.79453492164612
121,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,wall_time,38.0
122,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,ranks,64
123,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,cpu_utilization,82.8
124,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,seconds,36.97917819023132
125,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,wall_time,34.0
126,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,ranks,64
