,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value
0,google/gke/gpu,google,gke,gpu,32,magma,all,workload_manager_wrapper_seconds,19.97203254699707
1,google/gke/gpu,google,gke,gpu,32,magma,all,workload_manager_wrapper_seconds,20.028942584991455
2,google/gke/gpu,google,gke,gpu,32,magma,all,workload_manager_wrapper_seconds,21.170164346694946
3,google/gke/gpu,google,gke,gpu,32,magma,all,workload_manager_wrapper_seconds,19.394336938858032
4,google/gke/gpu,google,gke,gpu,32,magma,all,workload_manager_wrapper_seconds,20.004474878311157
5,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,20.18767738342285
6,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,18.93278956413269
7,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,1.553490161895752
8,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,19.714353799819946
9,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,19.60513162612915
10,google/gke/gpu,google,gke,gpu,8,magma,all,workload_manager_wrapper_seconds,18.828044652938843
11,google/gke/gpu,google,gke,gpu,16,magma,all,workload_manager_wrapper_seconds,15.57023286819458
12,google/gke/gpu,google,gke,gpu,16,magma,all,workload_manager_wrapper_seconds,16.311381340026855
13,google/gke/gpu,google,gke,gpu,16,magma,all,workload_manager_wrapper_seconds,15.555659770965576
14,google/gke/gpu,google,gke,gpu,16,magma,all,workload_manager_wrapper_seconds,15.436131477355957
15,google/gke/gpu,google,gke,gpu,16,magma,all,workload_manager_wrapper_seconds,15.565691471099854
16,google/gke/gpu,google,gke,gpu,4,magma,all,workload_manager_wrapper_seconds,16.3748037815094
17,google/gke/gpu,google,gke,gpu,4,magma,all,workload_manager_wrapper_seconds,15.590066909790039
18,google/gke/gpu,google,gke,gpu,4,magma,all,workload_manager_wrapper_seconds,15.535984754562378
19,google/gke/gpu,google,gke,gpu,4,magma,all,workload_manager_wrapper_seconds,15.679523706436157
20,google/gke/gpu,google,gke,gpu,4,magma,all,workload_manager_wrapper_seconds,15.573188066482544
21,google/compute-engine/gpu,google,compute-engine,gpu,32,magma,all,workload_manager_wrapper_seconds,17.70082139968872
22,google/compute-engine/gpu,google,compute-engine,gpu,32,magma,all,workload_manager_wrapper_seconds,18.373092889785767
23,google/compute-engine/gpu,google,compute-engine,gpu,32,magma,all,workload_manager_wrapper_seconds,17.937989950180054
24,google/compute-engine/gpu,google,compute-engine,gpu,32,magma,all,workload_manager_wrapper_seconds,17.995916843414307
25,google/compute-engine/gpu,google,compute-engine,gpu,32,magma,all,workload_manager_wrapper_seconds,18.035760641098022
26,google/compute-engine/gpu,google,compute-engine,gpu,8,magma,all,workload_manager_wrapper_seconds,17.972010135650635
27,google/compute-engine/gpu,google,compute-engine,gpu,8,magma,all,workload_manager_wrapper_seconds,18.372843742370605
28,google/compute-engine/gpu,google,compute-engine,gpu,8,magma,all,workload_manager_wrapper_seconds,18.0202853679657
29,google/compute-engine/gpu,google,compute-engine,gpu,8,magma,all,workload_manager_wrapper_seconds,17.872793436050415
30,google/compute-engine/gpu,google,compute-engine,gpu,8,magma,all,workload_manager_wrapper_seconds,17.891321182250977
31,google/compute-engine/gpu,google,compute-engine,gpu,16,magma,all,workload_manager_wrapper_seconds,18.071419954299927
32,google/compute-engine/gpu,google,compute-engine,gpu,16,magma,all,workload_manager_wrapper_seconds,18.465198278427124
33,google/compute-engine/gpu,google,compute-engine,gpu,16,magma,all,workload_manager_wrapper_seconds,15.255297183990479
34,google/compute-engine/gpu,google,compute-engine,gpu,16,magma,all,workload_manager_wrapper_seconds,17.8204243183136
35,google/compute-engine/gpu,google,compute-engine,gpu,16,magma,all,workload_manager_wrapper_seconds,17.953555822372437
36,google/compute-engine/gpu,google,compute-engine,gpu,4,magma,all,workload_manager_wrapper_seconds,14.812742471694946
37,google/compute-engine/gpu,google,compute-engine,gpu,4,magma,all,workload_manager_wrapper_seconds,17.755839109420776
