Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   15.31,    2.19,   8.76,      0.125,   35.98,    0.93,   7.46,      0.500,   16.68,    4.02,   8.05,     0.250,   10.52,    3.19,  12.76
            1,      0.750,   17.79,    5.66,   7.54,      0.375,   47.55,    2.12,   5.65,      1.500,   12.23,   16.47,  10.98,     0.750,   20.07,    5.02,   6.69
            2,      1.250,   18.71,    8.97,   7.17,      0.625,   49.29,    3.40,   5.45,      2.500,   12.80,   26.21,  10.49,     1.250,   17.61,    9.53,   7.62
            3,      1.750,   17.93,   13.10,   7.49,      0.875,   45.95,    5.11,   5.84,      3.500,   20.21,   23.24,   6.64,     1.750,   19.98,   11.76,   6.72
            4,      2.250,   16.98,   17.79,   7.91,      1.125,   51.51,    5.86,   5.21,      4.500,   15.65,   38.59,   8.57,     2.250,   15.34,   19.68,   8.75
            5,      2.750,   12.02,   30.72,  11.17,      1.375,   55.44,    6.66,   4.84,      5.500,   19.23,   38.40,   6.98,     2.750,   19.28,   19.14,   6.96
            6,      3.250,   17.89,   24.38,   7.50,      1.625,   48.07,    9.07,   5.58,      6.500,   18.28,   47.72,   7.34,     3.250,   15.98,   27.29,   8.40
            7,      3.750,   18.95,   26.56,   7.08,      1.875,   53.26,    9.45,   5.04,      7.500,   14.81,   67.97,   9.06,     3.750,   13.41,   37.52,  10.01
            8,      4.250,   18.06,   31.58,   7.43,      2.125,   54.71,   10.43,   4.91,      8.500,   18.00,   63.37,   7.45,     4.250,   18.39,   31.01,   7.30
            9,      4.750,   15.69,   40.62,   8.55,      2.375,   53.59,   11.90,   5.01,      9.500,   11.50,  110.86,  11.67,     4.750,   24.84,   25.66,   5.40
           10,      5.250,   23.01,   30.62,   5.83,      2.625,   59.05,   11.93,   4.55,     10.500,   23.62,   59.66,   5.68,     5.250,   21.37,   32.97,   6.28
           11,      5.750,   20.10,   38.40,   6.68,      2.875,   51.76,   14.91,   5.19,     11.500,   24.51,   62.97,   5.48,     5.750,   18.03,   42.79,   7.44
           12,      6.250,   20.04,   41.86,   6.70,      3.125,   58.19,   14.41,   4.61,     12.500,   23.85,   70.34,   5.63,     6.250,   23.19,   36.18,   5.79
           13,      6.750,   17.55,   51.64,   7.65,      3.375,   64.04,   14.15,   4.19,     13.500,   23.33,   77.66,   5.75,     6.750,   26.78,   33.83,   5.01
           14,      7.250,   21.13,   46.06,   6.35,      3.625,   63.02,   15.44,   4.26,     14.500,   12.33,  157.83,  10.88,     7.250,   34.02,   28.60,   3.94
           15,      7.750,   13.87,   75.00,   9.68,      3.875,   65.25,   15.94,   4.11,     15.500,   23.37,   89.01,   5.74,     7.750,   34.80,   29.89,   3.86
           16,      8.250,   21.20,   52.23,   6.33,      4.125,   67.85,   16.32,   3.96,     16.500,   22.70,   97.54,   5.91,     8.250,   27.94,   39.63,   4.80
            0,      0.250,   18.21,    1.84,   7.37,      0.125,   48.19,    0.70,   5.57,      0.500,   20.39,    3.29,   6.58,     0.250,   13.47,    2.49,   9.96
            1,      0.750,   19.73,    5.10,   6.80,      0.375,   40.53,    2.48,   6.62,      1.500,   18.15,   11.10,   7.40,     0.750,   20.42,    4.93,   6.57
            2,      1.250,   16.85,    9.96,   7.97,      0.625,   47.61,    3.52,   5.64,      2.500,   18.86,   17.79,   7.12,     1.250,   13.09,   12.82,  10.25
            3,      1.750,   17.60,   13.35,   7.63,      0.875,   55.44,    4.24,   4.84,      3.500,   17.85,   26.32,   7.52,     1.750,   18.81,   12.48,   7.13
            4,      2.250,   13.57,   22.26,   9.89,      1.125,   54.92,    5.50,   4.89,      4.500,   17.38,   34.76,   7.72,     2.250,   20.49,   14.74,   6.55
            5,      2.750,   20.56,   17.96,   6.53,      1.375,   47.88,    7.71,   5.61,      5.500,   20.63,   35.78,   6.51,     2.750,   23.87,   15.46,   5.62
            6,      3.250,   18.21,   23.95,   7.37,      1.625,   56.56,    7.71,   4.75,      6.500,   17.63,   49.48,   7.61,     3.250,   26.33,   16.57,   5.10
            7,      3.750,   15.91,   31.63,   8.43,      1.875,   54.62,    9.22,   4.91,      7.500,   18.27,   55.10,   7.35,     3.750,   26.09,   19.29,   5.14
            8,      4.250,   20.55,   27.76,   6.53,      2.125,   39.75,   14.35,   6.75,      8.500,   18.48,   61.74,   7.26,     4.250,   24.09,   23.68,   5.57
            9,      4.750,   17.57,   36.28,   7.64,      2.375,   55.50,   11.49,   4.84,      9.500,   21.04,   60.59,   6.38,     4.750,   22.19,   28.73,   6.05
           10,      5.250,   17.76,   39.68,   7.56,      2.625,   52.08,   13.53,   5.15,     10.500,   16.46,   85.63,   8.16,     5.250,   30.90,   22.81,   4.34
           11,      5.750,   20.94,   36.86,   6.41,      2.875,   66.48,   11.61,   4.04,     11.500,   18.94,   81.49,   7.09,     5.750,   28.21,   27.36,   4.76
           12,      6.250,   11.80,   71.07,  11.37,      3.125,   68.92,   12.17,   3.89,     12.500,   21.42,   78.33,   6.27,     6.250,   31.61,   26.54,   4.25
           13,      6.750,   12.59,   71.97,  10.66,      3.375,   60.68,   14.93,   4.42,     13.500,   23.35,   77.60,   5.75,     6.750,   34.14,   26.54,   3.93
           14,      7.250,   22.18,   43.86,   6.05,      3.625,   61.52,   15.82,   4.36,     14.500,   22.62,   86.05,   5.93,     7.250,   34.85,   27.92,   3.85
           15,      7.750,   24.58,   42.32,   5.46,      3.875,   67.02,   15.52,   4.01,     15.500,   23.97,   86.78,   5.60,     7.750,   33.79,   30.79,   3.97
           16,      8.250,   23.79,   46.54,   5.64,      4.125,   67.74,   16.35,   3.96,     16.500,   17.14,  129.22,   7.83,     8.250,   34.95,   31.68,   3.84
            0,      0.250,   15.31,    2.19,   8.77,      0.125,   51.93,    0.65,   5.17,      0.500,   17.66,    3.80,   7.60,     0.250,   17.59,    1.91,   7.63
            1,      0.750,   19.85,    5.07,   6.76,      0.375,   44.54,    2.26,   6.03,      1.500,   19.94,   10.10,   6.73,     0.750,   17.14,    5.87,   7.83
            2,      1.250,   19.02,    8.82,   7.06,      0.625,   40.48,    4.14,   6.63,      2.500,   18.84,   17.81,   7.12,     1.250,   17.36,    9.66,   7.73
            3,      1.750,   15.71,   14.95,   8.54,      0.875,   50.21,    4.68,   5.35,      3.500,   20.06,   23.42,   6.69,     1.750,   20.02,   11.74,   6.71
            4,      2.250,   20.09,   15.03,   6.68,      1.125,   49.36,    6.12,   5.44,      4.500,   13.07,   46.20,  10.27,     2.250,   20.14,   15.00,   6.66
            5,      2.750,   15.56,   23.73,   8.63,      1.375,   49.45,    7.46,   5.43,      5.500,   18.96,   38.94,   7.08,     2.750,   16.35,   22.57,   8.21
            6,      3.250,   18.07,   24.13,   7.43,      1.625,   37.08,   11.76,   7.24,      6.500,   20.35,   42.88,   6.60,     3.250,   20.48,   21.30,   6.55
            7,      3.750,   17.03,   29.55,   7.88,      1.875,   52.39,    9.61,   5.12,      7.500,   14.81,   67.97,   9.06,     3.750,   18.27,   27.55,   7.35
            8,      4.250,   20.17,   28.28,   6.65,      2.125,   63.73,    8.95,   4.21,      8.500,   22.38,   50.99,   6.00,     4.250,   24.91,   22.90,   5.39
            9,      4.750,   23.18,   27.51,   5.79,      2.375,   61.36,   10.39,   4.37,      9.500,   20.32,   62.74,   6.60,     4.750,   25.01,   25.50,   5.37
           10,      5.250,   21.87,   32.22,   6.14,      2.625,   57.89,   12.17,   4.64,     10.500,   21.54,   65.41,   6.23,     5.250,   21.40,   32.92,   6.27
           11,      5.750,   23.60,   32.70,   5.69,      2.875,   57.85,   13.34,   4.64,     11.500,   24.62,   62.69,   5.45,     5.750,   28.12,   27.45,   4.77
           12,      6.250,   17.25,   48.63,   7.78,      3.125,   58.14,   14.43,   4.62,     12.500,   23.60,   71.09,   5.69,     6.250,   28.63,   29.30,   4.69
           13,      6.750,   23.35,   38.80,   5.75,      3.375,   68.67,   13.19,   3.91,     13.500,   22.11,   81.96,   6.07,     6.750,   33.72,   26.87,   3.98
           14,      7.250,   22.12,   44.00,   6.07,      3.625,   60.20,   16.16,   4.46,     14.500,   22.45,   86.70,   5.98,     7.250,   22.61,   43.04,   5.94
           15,      7.750,   13.73,   75.74,   9.77,      3.875,   61.34,   16.96,   4.38,     15.500,   24.16,   86.12,   5.56,     7.750,   25.92,   40.13,   5.18
           16,      8.250,   13.54,   81.80,   9.92,      4.125,   60.39,   18.34,   4.45,     16.500,   17.70,  125.13,   7.58,     8.250,   35.05,   31.59,   3.83
            0,      0.250,   20.51,    1.64,   6.55,      0.125,   47.77,    0.70,   5.62,      0.500,   15.93,    4.21,   8.42,     0.250,   32.54,    1.03,   4.12
            1,      0.750,   20.45,    4.92,   6.56,      0.375,   38.32,    2.63,   7.01,      1.500,   15.84,   12.71,   8.47,     0.750,   18.82,    5.35,   7.13
            2,      1.250,   18.15,    9.24,   7.39,      0.625,   50.80,    3.30,   5.28,      2.500,   18.56,   18.08,   7.23,     1.250,   18.20,    9.22,   7.38
            3,      1.750,   19.35,   12.14,   6.94,      0.875,   53.90,    4.36,   4.98,      3.500,   18.66,   25.17,   7.19,     1.750,   18.24,   12.88,   7.36
            4,      2.250,   18.24,   16.55,   7.36,      1.125,   48.21,    6.26,   5.57,      4.500,   13.64,   44.29,   9.84,     2.250,   20.62,   14.64,   6.51
            5,      2.750,   18.99,   19.44,   7.07,      1.375,   49.90,    7.40,   5.38,      5.500,   20.68,   35.70,   6.49,     2.750,   28.54,   12.93,   4.70
            6,      3.250,   20.68,   21.09,   6.49,      1.625,   52.42,    8.32,   5.12,      6.500,   19.40,   44.96,   6.92,     3.250,   28.44,   15.34,   4.72
            7,      3.750,   14.85,   33.90,   9.04,      1.875,   49.09,   10.25,   5.47,      7.500,   24.26,   41.49,   5.53,     3.750,   35.12,   14.33,   3.82
            8,      4.250,   21.97,   25.96,   6.11,      2.125,   62.32,    9.15,   4.31,      8.500,   21.91,   52.06,   6.12,     4.250,   35.44,   16.09,   3.79
            9,      4.750,   19.67,   32.41,   6.82,      2.375,   62.95,   10.13,   4.26,      9.500,   41.81,   30.50,   3.21,     4.750,   29.38,   21.70,   4.57
           10,      5.250,   24.29,   29.00,   5.52,      2.625,   63.34,   11.12,   4.24,     10.500,   23.89,   59.00,   5.62,     5.250,   35.05,   20.11,   3.83
           11,      5.750,   23.32,   33.09,   5.75,      2.875,   60.95,   12.66,   4.40,     11.500,   22.28,   69.27,   6.02,     5.750,   34.64,   22.28,   3.87
           12,      6.250,    6.19,  135.56,  21.69,      3.125,   61.01,   13.75,   4.40,     12.500,   24.78,   67.71,   5.42,     6.250,   33.60,   24.97,   4.00
           13,      6.750,   13.06,   69.38,  10.28,      3.375,   65.43,   13.85,   4.10,     13.500,   22.38,   80.97,   6.00,     6.750,   29.72,   30.49,   4.52
           14,      7.250,   12.37,   78.65,  10.85,      3.625,   68.03,   14.30,   3.95,     14.500,   22.86,   85.12,   5.87,     7.250,   33.17,   29.34,   4.05
           15,      7.750,   24.66,   42.19,   5.44,      3.875,   70.55,   14.74,   3.80,     15.500,   24.70,   84.23,   5.43,     7.750,   35.41,   29.38,   3.79
           16,      8.250,   13.89,   79.74,   9.67,      4.125,   64.37,   17.20,   4.17,     16.500,   24.99,   88.63,   5.37,     8.250,   35.73,   30.99,   3.76
            0,      0.250,   24.46,    1.37,   5.49,      0.125,   46.12,    0.73,   5.82,      0.500,   15.97,    4.20,   8.41,     0.250,   20.38,    1.65,   6.59
            1,      0.750,   19.19,    5.24,   6.99,      0.375,   52.93,    1.90,   5.07,      1.500,   11.19,   17.99,  11.99,     0.750,   19.33,    5.21,   6.94
            2,      1.250,   15.85,   10.58,   8.47,      0.625,   52.98,    3.17,   5.07,      2.500,   16.54,   20.29,   8.12,     1.250,   17.15,    9.78,   7.82
            3,      1.750,   15.90,   14.77,   8.44,      0.875,   48.49,    4.84,   5.54,      3.500,   14.55,   32.29,   9.23,     1.750,   19.85,   11.83,   6.76
            4,      2.250,   16.57,   18.23,   8.10,      1.125,   53.48,    5.65,   5.02,      4.500,   15.95,   37.86,   8.41,     2.250,   18.28,   16.52,   7.34
            5,      2.750,   19.83,   18.61,   6.77,      1.375,   48.05,    7.68,   5.59,      5.500,   17.39,   42.45,   7.72,     2.750,   24.05,   15.35,   5.58
            6,      3.250,   20.32,   21.46,   6.60,      1.625,   63.15,    6.91,   4.25,      6.500,   20.74,   42.07,   6.47,     3.250,   34.89,   12.50,   3.85
            7,      3.750,   24.28,   20.73,   5.53,      1.875,   51.10,    9.85,   5.25,      7.500,   18.48,   54.47,   7.26,     3.750,   34.82,   14.45,   3.85
            8,      4.250,   24.56,   23.23,   5.47,      2.125,   58.33,    9.78,   4.60,      8.500,   18.07,   63.14,   7.43,     4.250,   35.04,   16.28,   3.83
            9,      4.750,   22.93,   27.80,   5.85,      2.375,   56.44,   11.30,   4.76,      9.500,   25.24,   50.51,   5.32,     4.750,   30.43,   20.95,   4.41
           10,      5.250,   25.23,   27.93,   5.32,      2.625,   68.69,   10.26,   3.91,     10.500,   21.74,   64.81,   6.17,     5.250,   35.70,   19.74,   3.76
           11,      5.750,   25.19,   30.63,   5.33,      2.875,   60.06,   12.85,   4.47,     11.500,   24.81,   62.21,   5.41,     5.750,   34.88,   22.13,   3.85
           12,      6.250,   10.72,   78.22,  12.52,      3.125,   63.10,   13.29,   4.25,     12.500,   23.51,   71.37,   5.71,     6.250,   28.67,   29.26,   4.68
           13,      6.750,   12.73,   71.15,  10.54,      3.375,   65.09,   13.92,   4.12,     13.500,   18.53,   97.77,   7.24,     6.750,   33.33,   27.18,   4.03
           14,      7.250,   24.74,   39.33,   5.42,      3.625,   64.50,   15.09,   4.16,     14.500,   20.83,   93.44,   6.44,     7.250,   32.97,   29.52,   4.07
           15,      7.750,   24.67,   42.16,   5.44,      3.875,   59.56,   17.46,   4.51,     15.500,   27.75,   74.96,   4.84,     7.750,   33.53,   31.03,   4.00
           16,      8.250,   24.14,   45.88,   5.56,      4.125,   68.00,   16.28,   3.95,     16.500,   19.27,  114.90,   6.96,     8.250,   35.17,   31.49,   3.82
            0,      0.250,   16.31,    2.06,   8.23,      0.125,   45.52,    0.74,   5.90,      0.500,   23.67,    2.83,   5.67,     0.250,   18.84,    1.78,   7.13
            1,      0.750,   21.14,    4.76,   6.35,      0.375,   49.77,    2.02,   5.39,      1.500,   11.48,   17.54,  11.69,     0.750,   20.92,    4.81,   6.42
            2,      1.250,   21.02,    7.98,   6.39,      0.625,   48.25,    3.48,   5.56,      2.500,   19.83,   16.92,   6.77,     1.250,   18.67,    8.99,   7.19
            3,      1.750,   16.44,   14.29,   8.17,      0.875,   55.50,    4.23,   4.84,      3.500,    7.92,   59.32,  16.95,     1.750,   21.16,   11.10,   6.34
            4,      2.250,   21.16,   14.27,   6.34,      1.125,   51.19,    5.90,   5.24,      4.500,   15.61,   38.69,   8.60,     2.250,   17.30,   17.45,   7.76
            5,      2.750,   17.69,   20.86,   7.59,      1.375,   51.88,    7.11,   5.17,      5.500,   20.19,   36.56,   6.65,     2.750,   23.77,   15.53,   5.65
            6,      3.250,   17.75,   24.58,   7.56,      1.625,   50.42,    8.65,   5.32,      6.500,   21.57,   40.45,   6.22,     3.250,   29.03,   15.03,   4.62
            7,      3.750,   20.12,   25.02,   6.67,      1.875,   68.47,    7.35,   3.92,      7.500,   34.82,   28.91,   3.85,     3.750,   34.05,   14.78,   3.94
            8,      4.250,   23.67,   24.10,   5.67,      2.125,   62.80,    9.08,   4.27,      8.500,   31.84,   35.83,   4.22,     4.250,   33.61,   16.97,   3.99
            9,      4.750,   24.69,   25.83,   5.44,      2.375,   55.03,   11.59,   4.88,      9.500,   31.97,   39.88,   4.20,     4.750,   34.27,   18.60,   3.92
           10,      5.250,   21.84,   32.27,   6.15,      2.625,   60.24,   11.70,   4.46,     10.500,   33.23,   42.41,   4.04,     5.250,   30.99,   22.74,   4.33
           11,      5.750,   25.42,   30.36,   5.28,      2.875,   59.25,   13.02,   4.53,     11.500,   34.08,   45.29,   3.94,     5.750,   25.68,   30.05,   5.23
           12,      6.250,   10.42,   80.50,  12.88,      3.125,   71.95,   11.66,   3.73,     12.500,   31.54,   53.19,   4.26,     6.250,   25.78,   32.54,   5.21
           13,      6.750,   12.66,   71.58,  10.60,      3.375,   64.47,   14.05,   4.16,     13.500,   34.02,   53.26,   3.95,     6.750,   36.05,   25.13,   3.72
           14,      7.250,   13.55,   71.81,   9.90,      3.625,   66.22,   14.70,   4.05,     14.500,   34.98,   55.64,   3.84,     7.250,   33.07,   29.42,   4.06
           15,      7.750,   25.62,   40.60,   5.24,      3.875,   65.24,   15.94,   4.11,     15.500,   31.85,   65.32,   4.21,     7.750,   32.53,   31.98,   4.13
           16,      8.250,   23.19,   47.75,   5.79,      4.125,   69.12,   16.02,   3.88,     16.500,   24.28,   91.19,   5.53,     8.250,   33.35,   33.21,   4.02
            0,      0.250,   18.21,    1.84,   7.37,      0.125,   46.18,    0.73,   5.81,      0.500,   20.72,    3.24,   6.48,     0.250,   14.48,    2.32,   9.27
