Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.52,    4.96,  19.85,      0.125,   13.57,    2.47,  19.79,     0.250,   11.27,    5.95,  23.81
            1,      0.750,   14.95,   13.46,  17.95,      0.375,   14.93,    6.74,  17.98,     0.750,   14.08,   14.30,  19.07
            2,      1.250,   15.41,   21.77,  17.42,      0.625,   15.41,   10.89,  17.42,     1.250,   14.35,   23.38,  18.71
            3,      1.750,   15.73,   29.86,  17.06,      0.875,   15.66,   15.00,  17.14,     1.750,   14.70,   31.96,  18.26
            4,      2.250,   16.19,   37.31,  16.58,      1.125,   16.07,   18.80,  16.71,     2.250,   15.60,   38.73,  17.21
            6,      3.250,   16.83,   51.83,  15.95,      1.625,   16.87,   25.86,  15.91,     3.250,   15.82,   55.15,  16.97
            8,      4.250,   17.54,   65.06,  15.31,      2.125,   17.54,   32.52,  15.30,     4.250,   16.77,   68.01,  16.00
           12,      6.250,   19.30,   86.95,  13.91,      3.125,   19.27,   43.54,  13.93,     6.250,   20.61,   81.41,  13.03
           16,      8.250,   21.39,  103.54,  12.55,      4.125,   21.44,   51.64,  12.52,     8.250,   25.61,   86.47,  10.48
           20,     10.250,   26.29,  104.65,  10.21,      5.125,   26.31,   52.29,  10.20,    10.250,   31.84,   86.41,   8.43
           24,     12.250,   32.79,  100.29,   8.19,      6.125,   32.79,   50.15,   8.19,    12.250,   37.72,   87.18,   7.12
           28,     14.250,   35.69,  107.19,   7.52,      7.125,   35.57,   53.77,   7.55,    14.250,   44.28,   86.39,   6.06
           32,     16.250,   40.10,  108.79,   6.69,      8.125,   40.18,   54.29,   6.68,    16.250,   49.12,   88.81,   5.47
           40,     20.250,   49.66,  109.46,   5.41,     10.125,   49.26,   55.18,   5.45,    20.250,   61.47,   88.44,   4.37
           48,     24.250,   59.49,  109.43,   4.51,     12.125,   59.44,   54.76,   4.52,    24.250,   73.87,   88.12,   3.63
           56,     28.250,   69.40,  109.27,   3.87,     14.125,   70.19,   54.02,   3.82,    28.250,   86.83,   87.34,   3.09
           64,     32.250,   80.56,  107.46,   3.33,     16.125,   80.50,   53.77,   3.33,    32.250,   99.91,   86.65,   2.69
           80,     40.250,   99.56,  108.53,   2.70,     20.125,   99.34,   54.38,   2.70,    40.250,  125.92,   85.81,   2.13
          104,     52.250,  130.05,  107.85,   2.06,     26.125,  130.59,   53.70,   2.06,    52.250,  163.67,   85.70,   1.64
          120,     60.250,  152.47,  106.08,   1.76,     30.125,  153.95,   52.53,   1.74,    60.250,  189.69,   85.26,   1.42
          128,     64.250,  164.84,  104.63,   1.63,     32.125,  163.75,   52.66,   1.64,    64.250,  201.89,   85.43,   1.33
          160,     80.250,  199.87,  107.78,   1.34,     40.125,  200.38,   53.75,   1.34,    80.250,  258.44,   83.36,   1.04
          192,     96.250,  247.97,  104.19,   1.08,     48.125,  247.09,   52.28,   1.09,    96.250,  309.32,   83.53,   0.87
          256,    128.250,  328.01,  104.96,   0.82,     64.125,  327.64,   52.54,   0.82,   128.250,  411.36,   83.69,   0.65
          320,    160.250,  414.11,  103.88,   0.65,     80.125,  411.21,   52.31,   0.65,   160.250,  514.78,   83.56,   0.52
          512,    256.250,  671.02,  102.51,   0.40,    128.125,  675.20,   50.94,   0.40,   256.250,  822.42,   83.64,   0.33
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.46,    4.98,  19.94,      0.125,   13.46,    2.49,  19.95,     0.250,   11.23,    5.97,  23.90
            1,      0.750,   14.87,   13.54,  18.05,      0.375,   14.88,    6.76,  18.04,     0.750,   14.04,   14.34,  19.12
            2,      1.250,   15.36,   21.85,  17.48,      0.625,   15.26,   11.00,  17.59,     1.250,   14.29,   23.48,  18.78
            3,      1.750,   15.77,   29.80,  17.03,      0.875,   15.70,   14.97,  17.10,     1.750,   14.64,   32.08,  18.33
            4,      2.250,   15.78,   38.27,  17.01,      1.125,   15.71,   19.22,  17.08,     2.250,   15.56,   38.82,  17.25
            6,      3.250,   16.75,   52.10,  16.03,      1.625,   16.77,   26.00,  16.00,     3.250,   15.89,   54.91,  16.90
            8,      4.250,   17.41,   65.52,  15.42,      2.125,   17.54,   32.52,  15.31,     4.250,   16.35,   69.79,  16.42
           12,      6.250,   19.09,   87.88,  14.06,      3.125,   19.03,   44.07,  14.10,     6.250,   20.37,   82.38,  13.18
           16,      8.250,   21.27,  104.10,  12.62,      4.125,   21.26,   52.07,  12.62,     8.250,   25.52,   86.78,  10.52
           20,     10.250,   25.84,  106.46,  10.39,      5.125,   25.88,   53.16,  10.37,    10.250,   31.31,   87.87,   8.57
           24,     12.250,   32.25,  101.96,   8.32,      6.125,   32.19,   51.08,   8.34,    12.250,   37.27,   88.22,   7.20
           28,     14.250,   35.12,  108.92,   7.64,      7.125,   34.94,   54.74,   7.68,    14.250,   43.54,   87.85,   6.16
           32,     16.250,   39.53,  110.35,   6.79,      8.125,   39.53,   55.17,   6.79,    16.250,   48.62,   89.71,   5.52
           40,     20.250,   48.86,  111.26,   5.49,     10.125,   48.85,   55.64,   5.50,    20.250,   60.83,   89.36,   4.41
           48,     24.250,   58.74,  110.82,   4.57,     12.125,   58.73,   55.42,   4.57,    24.250,   73.16,   88.97,   3.67
           56,     28.250,   68.93,  110.01,   3.89,     14.125,   69.03,   54.93,   3.89,    28.250,   85.56,   88.63,   3.14
           64,     32.250,   79.33,  109.12,   3.38,     16.125,   79.52,   54.44,   3.38,    32.250,   98.36,   88.01,   2.73
           80,     40.250,   97.96,  110.29,   2.74,     20.125,   97.76,   55.26,   2.75,    40.250,  123.89,   87.21,   2.17
          104,     52.250,  128.75,  108.93,   2.08,     26.125,  129.03,   54.35,   2.08,    52.250,  161.78,   86.69,   1.66
          120,     60.250,  150.00,  107.82,   1.79,     30.125,  151.73,   53.30,   1.77,    60.250,  186.88,   86.54,   1.44
          128,     64.250,  162.61,  106.06,   1.65,     32.125,  162.42,   53.09,   1.65,    64.250,  199.72,   86.35,   1.34
          160,     80.250,  197.65,  108.99,   1.36,     40.125,  197.56,   54.52,   1.36,    80.250,  254.61,   84.61,   1.05
          192,     96.250,  244.98,  105.46,   1.10,     48.125,  244.40,   52.86,   1.10,    96.250,  304.96,   84.72,   0.88
          256,    128.250,  323.23,  106.51,   0.83,     64.125,  323.60,   53.19,   0.83,   128.250,  406.59,   84.67,   0.66
          320,    160.250,  404.66,  106.30,   0.66,     80.125,  401.42,   53.58,   0.67,   160.250,  508.19,   84.65,   0.53
          512,    256.250,  664.36,  103.54,   0.40,    128.125,  664.21,   51.78,   0.40,   256.250,  812.56,   84.65,   0.33
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.53,    4.96,  19.85,      0.125,   13.53,    2.48,  19.84,     0.250,   11.41,    5.88,  23.53
            1,      0.750,   14.89,   13.52,  18.03,      0.375,   14.87,    6.77,  18.05,     0.750,   14.09,   14.29,  19.05
            2,      1.250,   15.42,   21.76,  17.41,      0.625,   15.10,   11.11,  17.78,     1.250,   14.18,   23.67,  18.93
            3,      1.750,   15.23,   30.85,  17.63,      0.875,   15.41,   15.25,  17.42,     1.750,   14.70,   31.96,  18.26
            4,      2.250,   15.60,   38.72,  17.21,      1.125,   15.81,   19.10,  16.97,     2.250,   15.58,   38.77,  17.23
            6,      3.250,   16.81,   51.89,  15.96,      1.625,   16.78,   25.99,  15.99,     3.250,   15.93,   54.78,  16.85
            8,      4.250,   17.45,   65.36,  15.38,      2.125,   17.39,   32.81,  15.44,     4.250,   16.42,   69.46,  16.34
           12,      6.250,   19.10,   87.83,  14.05,      3.125,   19.11,   43.91,  14.05,     6.250,   20.39,   82.29,  13.17
           16,      8.250,   21.32,  103.89,  12.59,      4.125,   21.29,   52.01,  12.61,     8.250,   25.57,   86.61,  10.50
           20,     10.250,   25.81,  106.61,  10.40,      5.125,   25.89,   53.14,  10.37,    10.250,   31.45,   87.48,   8.53
           24,     12.250,   32.30,  101.80,   8.31,      6.125,   32.24,   50.99,   8.33,    12.250,   37.38,   87.98,   7.18
           28,     14.250,   35.20,  108.66,   7.63,      7.125,   35.05,   54.56,   7.66,    14.250,   43.52,   87.89,   6.17
           32,     16.250,   39.72,  109.82,   6.76,      8.125,   39.54,   55.16,   6.79,    16.250,   48.73,   89.52,   5.51
           40,     20.250,   48.96,  111.02,   5.48,     10.125,   48.87,   55.62,   5.49,    20.250,   60.95,   89.18,   4.40
           48,     24.250,   58.75,  110.81,   4.57,     12.125,   58.74,   55.41,   4.57,    24.250,   73.21,   88.91,   3.67
           56,     28.250,   68.92,  110.03,   3.89,     14.125,   69.15,   54.83,   3.88,    28.250,   85.77,   88.42,   3.13
           64,     32.250,   79.45,  108.96,   3.38,     16.125,   79.71,   54.30,   3.37,    32.250,   98.54,   87.86,   2.72
           80,     40.250,   98.08,  110.16,   2.74,     20.125,   97.95,   55.15,   2.74,    40.250,  124.08,   87.08,   2.16
          104,     52.250,  128.84,  108.86,   2.08,     26.125,  129.31,   54.23,   2.08,    52.250,  161.97,   86.60,   1.66
          120,     60.250,  150.32,  107.59,   1.79,     30.125,  151.80,   53.27,   1.77,    60.250,  187.13,   86.43,   1.43
          128,     64.250,  162.83,  105.92,   1.65,     32.125,  162.58,   53.04,   1.65,    64.250,  199.77,   86.34,   1.34
