Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.07,   21.88,  87.52,      0.125,    3.15,   10.65,  85.16,     0.250,    2.21,   30.39, 121.57
            1,      0.750,    3.58,   56.28,  75.04,      0.375,    3.60,   27.99,  74.63,     0.750,    3.23,   62.29,  83.06
            2,      1.250,    3.67,   91.55,  73.24,      0.625,    3.66,   45.80,  73.28,     1.250,    3.35,  100.10,  80.08
            3,      1.750,    3.79,  124.05,  70.88,      0.875,    3.75,   62.67,  71.62,     1.750,    3.48,  135.11,  77.20
            4,      2.250,    3.90,  154.75,  68.78,      1.125,    3.86,   78.15,  69.47,     2.250,    3.56,  169.85,  75.49
            6,      3.250,    4.17,  209.41,  64.43,      1.625,    4.09,  106.60,  65.60,     3.250,    3.79,  230.19,  70.83
            8,      4.250,    4.49,  254.37,  59.85,      2.125,    4.46,  127.93,  60.20,     4.250,    4.12,  276.64,  65.09
           12,      6.250,    5.55,  302.18,  48.35,      3.125,    5.52,  151.91,  48.61,     6.250,    6.32,  265.63,  42.50
           16,      8.250,    6.66,  332.32,  40.28,      4.125,    6.64,  166.74,  40.42,     8.250,    8.19,  270.47,  32.78
           20,     10.250,    8.31,  331.26,  32.32,      5.125,    8.31,  165.59,  32.31,    10.250,   10.22,  269.22,  26.27
           24,     12.250,   10.56,  311.42,  25.42,      6.125,   10.57,  155.49,  25.39,    12.250,   12.26,  268.22,  21.90
           28,     14.250,   11.54,  331.56,  23.27,      7.125,   11.49,  166.50,  23.37,    14.250,   14.30,  267.46,  18.77
           32,     16.250,   13.07,  333.82,  20.54,      8.125,   13.02,  167.51,  20.62,    16.250,   16.11,  270.73,  16.66
           40,     20.250,   16.25,  334.55,  16.52,     10.125,   16.23,  167.46,  16.54,    20.250,   20.32,  267.54,  13.21
           48,     24.250,   19.62,  331.75,  13.68,     12.125,   19.62,  165.90,  13.68,    24.250,   24.52,  265.52,  10.95
           56,     28.250,   23.12,  327.94,  11.61,     14.125,   23.15,  163.78,  11.59,    28.250,   28.74,  263.84,   9.34
           64,     32.250,   26.66,  324.73,  10.07,     16.125,   26.73,  161.92,  10.04,    32.250,   33.09,  261.64,   8.11
           80,     40.250,   32.99,  327.55,   8.14,     20.125,   32.92,  164.10,   8.15,    40.250,   41.76,  258.75,   6.43
          104,     52.250,   43.47,  322.67,   6.18,     26.125,   43.44,  161.45,   6.18,    52.250,   54.61,  256.83,   4.92
          120,     60.250,   50.73,  318.79,   5.29,     30.125,   51.32,  157.57,   5.23,    60.250,   63.17,  256.02,   4.25
          128,     64.250,   55.11,  312.94,   4.87,     32.125,   55.18,  156.28,   4.86,    64.250,   67.49,  255.54,   3.98
          160,     80.250,   66.89,  322.04,   4.01,     40.125,   66.89,  161.03,   4.01,    80.250,   86.14,  250.10,   3.12
          192,     96.250,   83.04,  311.14,   3.23,     48.125,   82.83,  155.96,   3.24,    96.250,  103.31,  250.08,   2.60
          256,    128.250,  109.62,  314.05,   2.45,     64.125,  109.76,  156.83,   2.45,   128.250,  137.75,  249.93,   1.95
          320,    160.250,  139.24,  308.95,   1.93,     80.125,  139.34,  154.35,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.58,  304.93,   1.19,    128.125,  225.61,  152.44,   1.19,   256.250,  275.65,  249.54,   0.97
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.95,   22.76,  91.06,      0.125,    2.94,   11.43,  91.46,     0.250,    1.82,   36.83, 147.33
            1,      0.750,    3.51,   57.41,  76.54,      0.375,    3.51,   28.66,  76.43,     0.750,    3.24,   62.06,  82.75
            2,      1.250,    3.56,   94.20,  75.36,      0.625,    3.60,   46.58,  74.52,     1.250,    3.14,  106.93,  85.54
            3,      1.750,    3.71,  126.55,  72.32,      0.875,    3.75,   62.70,  71.66,     1.750,    3.29,  142.65,  81.52
            4,      2.250,    3.83,  157.66,  70.07,      1.125,    3.79,   79.64,  70.79,     2.250,    3.45,  175.12,  77.83
            6,      3.250,    4.13,  211.19,  64.98,      1.625,    4.07,  107.23,  65.99,     3.250,    3.76,  232.15,  71.43
            8,      4.250,    4.42,  258.40,  60.80,      2.125,    4.40,  129.70,  61.04,     4.250,    4.11,  277.78,  65.36
           12,      6.250,    5.52,  304.10,  48.66,      3.125,    5.46,  153.78,  49.21,     6.250,    6.32,  265.50,  42.48
           16,      8.250,    6.62,  334.43,  40.54,      4.125,    6.58,  168.36,  40.81,     8.250,    8.12,  272.73,  33.06
           20,     10.250,    8.23,  334.44,  32.63,      5.125,    8.28,  166.23,  32.44,    10.250,   10.21,  269.59,  26.30
           24,     12.250,   10.53,  312.19,  25.49,      6.125,   10.52,  156.35,  25.53,    12.250,   12.23,  268.87,  21.95
           28,     14.250,   11.54,  331.53,  23.27,      7.125,   11.46,  166.86,  23.42,    14.250,   14.29,  267.63,  18.78
           32,     16.250,   13.04,  334.52,  20.59,      8.125,   13.02,  167.48,  20.61,    16.250,   16.11,  270.82,  16.67
           40,     20.250,   16.25,  334.55,  16.52,     10.125,   16.23,  167.46,  16.54,    20.250,   20.31,  267.59,  13.21
           48,     24.250,   19.64,  331.36,  13.66,     12.125,   19.60,  166.09,  13.70,    24.250,   24.51,  265.63,  10.95
           56,     28.250,   23.11,  328.17,  11.62,     14.125,   23.14,  163.88,  11.60,    28.250,   28.72,  264.03,   9.35
           64,     32.250,   26.65,  324.84,  10.07,     16.125,   26.71,  162.07,  10.05,    32.250,   33.06,  261.85,   8.12
           80,     40.250,   32.95,  327.91,   8.15,     20.125,   32.88,  164.29,   8.16,    40.250,   41.75,  258.80,   6.43
          104,     52.250,   43.47,  322.64,   6.17,     26.125,   43.47,  161.31,   6.17,    52.250,   54.61,  256.84,   4.92
          120,     60.250,   50.72,  318.87,   5.29,     30.125,   51.32,  157.57,   5.23,    60.250,   63.17,  256.03,   4.25
          128,     64.250,   55.11,  312.98,   4.87,     32.125,   55.17,  156.31,   4.87,    64.250,   67.49,  255.56,   3.98
          160,     80.250,   66.89,  322.07,   4.01,     40.125,   66.88,  161.06,   4.01,    80.250,   86.12,  250.13,   3.12
          192,     96.250,   83.00,  311.28,   3.23,     48.125,   82.83,  155.97,   3.24,    96.250,  103.31,  250.10,   2.60
          256,    128.250,  109.59,  314.15,   2.45,     64.125,  109.75,  156.84,   2.45,   128.250,  137.73,  249.95,   1.95
          320,    160.250,  139.21,  309.02,   1.93,     80.125,  139.32,  154.38,   1.93,   160.250,  172.24,  249.75,   1.56
          512,    256.250,  225.54,  304.99,   1.19,    128.125,  225.56,  152.48,   1.19,   256.250,  275.62,  249.57,   0.97
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.05,   22.03,  88.13,      0.125,    3.39,    9.90,  79.21,     0.250,    2.29,   29.33, 117.32
            1,      0.750,    3.88,   51.86,  69.15,      0.375,    3.88,   25.96,  69.22,     0.750,    3.47,   58.04,  77.38
            2,      1.250,    3.91,   85.82,  68.65,      0.625,    4.01,   41.81,  66.89,     1.250,    3.60,   93.21,  74.57
            3,      1.750,    4.06,  115.65,  66.08,      0.875,    4.05,   58.01,  66.30,     1.750,    3.74,  125.71,  71.83
            4,      2.250,    4.20,  143.74,  63.88,      1.125,    4.15,   72.82,  64.73,     2.250,    3.88,  155.75,  69.22
            6,      3.250,    4.35,  200.65,  61.74,      1.625,    4.29,  101.63,  62.54,     3.250,    4.09,  213.15,  65.58
            8,      4.250,    4.61,  247.26,  58.18,      2.125,    4.61,  123.82,  58.27,     4.250,    4.33,  263.42,  61.98
           12,      6.250,    5.51,  304.49,  48.72,      3.125,    5.46,  153.55,  49.14,     6.250,    6.28,  267.03,  42.72
           16,      8.250,    6.61,  335.09,  40.62,      4.125,    6.55,  168.92,  40.95,     8.250,    8.12,  272.73,  33.06
