Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.78,   24.11,  96.42,      0.125,    2.74,   12.23,  97.86,     0.250,    1.48,   45.22, 180.89
            1,      0.750,    3.43,   58.70,  78.26,      0.375,    3.44,   29.28,  78.08,     0.750,    2.79,   72.24,  96.32
            2,      1.250,    3.50,   95.73,  76.59,      0.625,    3.52,   47.73,  76.37,     1.250,    2.95,  113.90,  91.12
            3,      1.750,    3.65,  128.56,  73.46,      0.875,    3.63,   64.76,  74.01,     1.750,    3.35,  140.31,  80.18
            4,      2.250,    3.83,  157.78,  70.12,      1.125,    3.75,   80.53,  71.58,     2.250,    3.32,  181.98,  80.88
            6,      3.250,    4.05,  215.57,  66.33,      1.625,    3.96,  110.04,  67.72,     3.250,    3.69,  236.17,  72.67
            8,      4.250,    4.39,  259.70,  61.11,      2.125,    4.38,  130.14,  61.24,     4.250,    4.02,  283.72,  66.76
           12,      6.250,    5.47,  306.49,  49.04,      3.125,    5.43,  154.57,  49.46,     6.250,    6.26,  268.09,  42.89
           16,      8.250,    6.58,  336.31,  40.76,      4.125,    6.53,  169.47,  41.08,     8.250,    8.11,  273.17,  33.11
           20,     10.250,    8.22,  334.85,  32.67,      5.125,    8.23,  167.14,  32.61,    10.250,   10.16,  270.76,  26.42
           24,     12.250,   10.53,  312.43,  25.50,      6.125,   10.50,  156.56,  25.56,    12.250,   12.20,  269.62,  22.01
           28,     14.250,   11.50,  332.74,  23.35,      7.125,   11.43,  167.33,  23.49,    14.250,   14.30,  267.48,  18.77
           32,     16.250,   13.03,  334.69,  20.60,      8.125,   13.02,  167.53,  20.62,    16.250,   16.11,  270.70,  16.66
           40,     20.250,   16.25,  334.59,  16.52,     10.125,   16.23,  167.48,  16.54,    20.250,   20.32,  267.55,  13.21
           48,     24.250,   19.66,  331.19,  13.66,     12.125,   19.62,  165.91,  13.68,    24.250,   24.52,  265.53,  10.95
           56,     28.250,   23.11,  328.13,  11.62,     14.125,   23.14,  163.84,  11.60,    28.250,   28.75,  263.81,   9.34
           64,     32.250,   26.66,  324.68,  10.07,     16.125,   26.73,  161.91,  10.04,    32.250,   33.08,  261.69,   8.11
           80,     40.250,   32.99,  327.53,   8.14,     20.125,   32.90,  164.22,   8.16,    40.250,   41.77,  258.70,   6.43
          104,     52.250,   43.54,  322.12,   6.16,     26.125,   43.73,  160.36,   6.14,    52.250,   54.64,  256.71,   4.91
          120,     60.250,   50.74,  318.72,   5.29,     30.125,   51.33,  157.54,   5.23,    60.250,   63.18,  255.98,   4.25
          128,     64.250,   55.12,  312.92,   4.87,     32.125,   55.19,  156.25,   4.86,    64.250,   67.50,  255.52,   3.98
          160,     80.250,   66.90,  322.01,   4.01,     40.125,   66.87,  161.07,   4.01,    80.250,   86.14,  250.10,   3.12
          192,     96.250,   83.03,  311.18,   3.23,     48.125,   82.86,  155.90,   3.24,    96.250,  103.32,  250.06,   2.60
          256,    128.250,  109.62,  314.05,   2.45,     64.125,  109.80,  156.78,   2.44,   128.250,  137.75,  249.93,   1.95
          320,    160.250,  139.23,  308.97,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.57,  304.95,   1.19,    128.125,  225.61,  152.45,   1.19,   256.250,  275.64,  249.55,   0.97
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
