,i-0b2a4ebb3fb9ab489,i-06ad4e43017f7390f,i-078cbe3b47cc9f02b,i-0b31dca32b52a7eb7,i-0b4af8b0d6c4bed5d,i-0acd06ef7cd4274b7,i-01fd5dbf1e9a15020,i-09f874ccf88d756a1,i-03638e3a56b4c96fc,i-0c5d847595aa419b5,i-012c3b1b7f676c26b,i-077d1c51ca95a4311,i-05c56b246757f9e38,i-097d95180ccadb577,i-0f4729b123b8f04f1,i-01d89e94259d715b4,i-089d8ba4f3611224a,i-0645a9d2d38d824f0,i-0923e6bc2f6a7dc2f,i-0c55a3bb8b612a0af,i-0cf86a5a6df1ddec5,i-05caa9e0833dd788e,i-0740ab961757f613b,i-00d365bcb2e551a12,i-0e78d0f8eef806676,i-061f48b4d795af86c,i-099d8f446b6c60961,i-0d184cbde5e73cd9c,i-05ccb0d047c971420,i-02f1dec83d834ec84,i-03dadbce0f7d27b6d,i-070d5a9ae0afcfcfd,i-065282bd7b3746b2b,i-07ef4fedb628768ca,i-0575d5a78280227aa,i-0fb9384647a3c7aff,i-034a69d5fbf03e452,i-01efed4fc6377363a,i-037cb5a76fbde36a4,i-00cbc45b53ff7f62d,i-0d379cdf2178ea8b4,i-0e472dec1aaaa306b,i-0d007492911824ab3,i-0773de8e65048320b,i-059cd732565804774,i-0cd8716810e0c3786,i-0914a56d0907ee02f,i-0dde2c323508a3c63,i-048ff998365ebc15a,i-017d0b6d9a63ac319,i-048a4a194349ea2b9,i-07daf666ec69a68a2,i-04a2ae26c612805b6,i-0118cd1183529c6d8,i-065767136bb2948fa,i-003580b69be3404fc,i-0ede6ed4fd678086f,i-0e9d65ba8e0e03e37,i-03829060737d82164,i-01c4cadbc93cb2dc8,i-0b006ead7caa82363,i-032d188e1e2932692,i-0255b4b91243f5bcb,i-0f659be6e9125c7e1,i-0a261b6b0fd37027b,i-006eb2c228e9a4d27,i-0468530f0862b1ae0,i-00080f609aa818b3a,i-0c2ea1af3e8879497,i-028c81c67be43b242,i-003429c6e5a2d446d,i-0430b7f41e5f1821d,i-09850989cb2867404,i-052c6071d188ffd27,i-01d975c43043e8a59,i-079b8ec7136f287c7,i-0ff89851e9b724af8,i-002b1d30fba480b35,i-095289324bc1fda5b,i-0c14cc1ae710aa0d6,i-0b04eeb1bd758a0f9,i-0f8a318228ebaab9b,i-0ad715f1db8750f26,i-08bb6ebf7bcac0b5a,i-08561f80090319664,i-09f5ffcb5249aba76,i-0e971970ad2ac7e9a,i-0c36f1988ed53c4a5,i-0d807548be1e04a1f,i-0d69c8383271c1c6f,i-0987d618cf6348a7a,i-008b9217f9cf2867b,i-026ba728b00ddab54,i-0ba8a29af19978aa1,i-0f1c85c41261d2679,i-0e01464b6381c7d57,i-01a64c628bd5af654,i-044ff7c2c4a927e62,i-069ff4e3cac77d494,i-0c7504e66bd76d7a7,i-0133ef5813e5b8835,i-09511e452bd0fe73a,i-018f3007c2b94f5be,i-00077bd80fa8d3477,i-0265e160562b551a0,i-0e88ffd0dee4fa9c4,i-07a4f3458b1fd7016,i-0f856dfd3a0f04137,i-0d0328749c7ccc473,i-02945f4237a155efc,i-004bca811778481b4,i-0266af79df30517b9,i-0036016a5ecb99fa4,i-05842230e6e8a5187,i-044eb49f1a36bb8e2,i-0a0bee7d17e558570,i-024a70f1c0ca77a88,i-0057b043c420f87f3,i-097f6bf886d123fc8,i-0d3b0774750d85fa2,i-0556b20fff2c767b8,i-05e3fd19381dd0925,i-0f3d8dd0a07577da4,i-0dca91592d0e1f816,i-06d04e6a139663294,i-056081d79eb3cf6a5,i-010d51da1f6053680,i-05f1c7fcd923d0693
i-0b2a4ebb3fb9ab489,0,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4
i-06ad4e43017f7390f,2,0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4
i-078cbe3b47cc9f02b,4,4,0,4,2,4,2,4,2,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,4,4,4
i-0b31dca32b52a7eb7,4,4,4,0,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,2,4,4,4,2,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0b4af8b0d6c4bed5d,4,4,2,4,0,4,2,4,2,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,4,4,4
i-0acd06ef7cd4274b7,4,4,4,4,4,0,4,2,4,4,4,2,4,2,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,2,4,4,2,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,4,2,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,4,2,2,4,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,2
i-01fd5dbf1e9a15020,4,4,2,4,2,4,0,4,2,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,4,4,4
i-09f874ccf88d756a1,4,4,4,4,4,2,4,0,4,4,4,2,4,2,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,2,4,4,2,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,4,2,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,4,2,2,4,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,2
i-03638e3a56b4c96fc,4,4,2,4,2,4,2,4,0,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,4,4,4
i-0c5d847595aa419b5,4,4,2,4,2,4,2,4,2,0,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,2,4,4,2,4,4,2,4,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,2,4,4,2,4,4,4
