,i-0cdba5d1e43015c15,i-004d333db7bb2a996,i-01f74b92e78e89d6d,i-0aaa343f683456fcc,i-0b4ab07d67f43c0cf,i-06a6929565a5245cb,i-0e0c27a5de8f9e3ec,i-0bb201cf6f9ed8b60,i-02803afc762605aeb,i-05b38308161732840,i-0d5572a3f8e528e53,i-07f1693be0981be9c,i-06977521bea163264,i-040bcb2816d5a6648,i-0b20543d7ada9956d,i-015e4d62c73f865a5,i-077e1551233a92193,i-0371d58d7e12362a8,i-07641324943267bf5,i-01f988e502575e149,i-08ea94907e652b23a,i-0a92ef4115a97e3a8,i-0dc0f3912870ebe34,i-0f3049626d6c9d63b,i-0f26547d3b81f323d,i-0af915e2437f1cfdc,i-03bda71ad4bb7a433,i-0c779b4b4d6511a04,i-0c3566ae1dc881164,i-0bf60405752828d7b,i-0edc90bbfeb8c13ae,i-086a1d3f96c9fe071,i-004b5fe539462cfee,i-0c2c3111c9a50d2a2,i-0d985b3bfade7446b,i-0e79da239a82b0a9e,i-082516eade5b44774,i-05973eb3b2789e9ae,i-068eafdff5fd37957,i-0b1ebf79328a63b9d,i-05c3a2dcdb42268ad,i-00f62d206a5543bc5,i-0cb4338e4530e02fb,i-000513098bed797f0,i-0bd5dc0fd60190a00,i-01c003fba49b396ab,i-0cf7a769244b0311b,i-00a9d3b828a481414,i-05a61fb46d8c1152c,i-09f625d44ec215567,i-02524b70d68d81826,i-0dd88ab776656b209,i-042fb869fb8e004ca,i-06d87e7229c5239bf,i-0d1c8e825fa425319,i-051663b510a306a1c,i-018f359d6e69d35d2,i-0abdd0443df6238cc,i-071a097d257ff2c48,i-02326c78f2ae91322,i-06b6f95ab2e812f18,i-01ea59ae25f116f8c,i-02ab63c550acfa0c9,i-0eddbd2979b71b17c,i-02750216c75a07115,i-07bdc1124e77e60fd,i-02b93320f6cc48ae3,i-0912e90b7147bfd0d,i-019a19a261afa3505,i-0de517bb6993f097f,i-0cfbf35f0bedfca57,i-06eaa97400892aa40,i-049d7a9eaddfe8041,i-077e4e7b930c9206a,i-0fb4777300096a2b0,i-098469d7774566b55,i-0256bd37a809addb9,i-073ff46210fd6f002,i-0d4d8e5ef184fb0f0,i-0b7853e680f59232b,i-0e2ace8ed9b50f59e,i-06708c9f08a211f6a,i-0c0f034efefadf28c,i-0f302574738394a16,i-0a8f9f1dce738a9cb,i-0a78069c9d15870c3,i-0b4842795b04fdeca,i-0e3190a65cc68af72,i-03e707b6007766080,i-0e9bb3d955dd32192,i-07a4042ce99f70781,i-09f5fd20a2a745d05,i-0f52c85525da988b1,i-05640f78f51dd1875,i-0bf7556bc00270e7d,i-02cf8de29d13e1e7d,i-05028f3cd35504dee,i-041942db1f0e7366d,i-099f5894620a8dfa6,i-0cce39611631bc159,i-07e54bb8993eae214,i-0f963c876ea491765,i-074c2885e0978598f,i-0da8e6a76bbf13c6d,i-0dafe34711f6f5e22,i-07943e68a6667add7,i-0162e6fb8c38ef467,i-0009cbcc8e23d1c06,i-0b4a79a09b9fc9385,i-0a1d28c3e95eec01f,i-05179c917b0146902,i-0e40fdb555e54dbfe,i-07d286346872d63a3,i-0fd936d557e1868fb,i-099eb76cd4695f443,i-0e8558b350665a64e,i-0135f013940307d0b,i-00cf724dbd450ce3d,i-0ebcbb8cb7c8ec28d,i-0b915fd89fda1031a,i-0e866eabf8b0cb434,i-0a367b8300adf8cb2,i-03224261747baf8f5,i-09e09ab1d5e85050d,i-0af665cd359fe6567,i-0bea1f32c1ad9a1a5,i-0626bcdb0c3489aac,i-0ec9f2cb6f5115ae3
i-0cdba5d1e43015c15,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
i-004d333db7bb2a996,4,0,4,4,2,2,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,2,4,2,4,4,2,2,4,2,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4
i-01f74b92e78e89d6d,4,4,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
i-0aaa343f683456fcc,4,4,4,0,4,4,2,4,4,2,4,4,2,2,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,2,4,4,4,4,2,2,2,2,4,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,2,2,4,4,2,2,2,2,4,4,4,2,4,2,2,4,2,2,2,4,4,2,4,4,4,2,4,4,2,2,4,2,2,2,2,4,4,4
i-0b4ab07d67f43c0cf,4,2,4,4,0,2,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,2,4,2,4,4,2,2,4,2,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4
i-06a6929565a5245cb,4,2,4,4,2,0,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,2,4,2,4,4,2,2,4,2,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4
i-0e0c27a5de8f9e3ec,4,4,4,2,4,4,0,4,4,2,4,4,2,2,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,2,4,4,4,4,2,2,2,2,4,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,2,2,4,4,2,2,2,2,4,4,4,2,4,2,2,4,2,2,2,4,4,2,4,4,4,2,4,4,2,2,4,2,2,2,2,4,4,4
i-0bb201cf6f9ed8b60,4,4,4,4,4,4,4,0,2,4,4,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4
i-02803afc762605aeb,4,4,4,4,4,4,4,2,0,4,4,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4
i-05b38308161732840,4,4,4,2,4,4,2,4,4,0,4,4,2,2,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,2,4,4,4,4,2,2,2,2,4,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4,2,4,4,4,2,2,4,4,2,2,2,2,4,4,4,2,4,2,2,4,2,2,2,4,4,2,4,4,4,2,4,4,2,2,4,2,2,2,2,4,4,4
