,i-0e09bda3e2926703b,i-08a4284d819a84d41,i-0e4aeca2effa03c5c,i-0c0713a188141702f,i-05e8c090015e8a358,i-078a67aae83d13811,i-06d9342064d53eb61,i-0f62e96eaf448e317,i-036418978b59aa3df,i-0e22c6830fb3f712f,i-093ac13207a5aadd4,i-0ff7ccbfaf2aad13d,i-08e2a8e888b8326dd,i-000a0ec36b8f83c3f,i-00468077375ac822e,i-00a9a1aedea9ab1cf,i-05aad39ee86fe3bc6,i-00fb214cf27e13300,i-0d718dc09479c1613,i-027471af0a58b78d7,i-066dde66b6357d088,i-0c3fff00a45d99b81,i-00885112eb16dac59,i-02d1e85160b173d13,i-0ec38666fe70a25f3,i-06ae396b80099c02e,i-0040f179b61587caf,i-009039bbdb0df27b8,i-0e78d9a901b1fb615,i-01bd3fc9f66ea2de0,i-008fa667fbea6529b,i-089ef1ad63d4a8e26
i-0e09bda3e2926703b,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,2,4,4,4
i-08a4284d819a84d41,4,0,4,2,2,4,4,2,4,4,2,4,4,2,2,2,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2
i-0e4aeca2effa03c5c,4,4,0,4,4,2,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0c0713a188141702f,4,2,4,0,2,4,4,2,4,4,2,4,4,2,2,2,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2
i-05e8c090015e8a358,4,2,4,2,0,4,4,2,4,4,2,4,4,2,2,2,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2
i-078a67aae83d13811,4,4,2,4,4,0,2,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
i-06d9342064d53eb61,4,4,2,4,4,2,0,4,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0f62e96eaf448e317,4,2,4,2,2,4,4,0,4,4,2,4,4,2,2,2,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2
i-036418978b59aa3df,4,4,2,4,4,2,2,4,0,2,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0e22c6830fb3f712f,4,4,2,4,4,2,2,4,2,0,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
