% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 791.12)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 792.64)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 761.24)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 789.68)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 792.56)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 801.93)     ---   (  ---  )     ---
         300    64    64    63     89.28 (   0.21)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 799.04)     ---   (  ---  )     ---
         300    64    64    63     93.15 (   0.20)     ---   (  ---  )     ---
% MAGMA 2.8.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 3.0
% CUDA runtime 12040, driver 12040. OpenMP threads 2. 
% device 0: Tesla V100-SXM2-32GB, 1530.0 MHz clock, 32501.1 MiB memory, capability 7.0
% Mon Aug 26 20:52:09 2024
% Usage: /opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched [options] [-h|--help]

% If running lapack (option --lapack), MAGMA error is computed
% relative to CPU BLAS result.

% transA = No transpose, transB = No transpose
%              max   max   max
% BatchCount     M     N     K   MAGMA Gflop/s (ms)   CPU Gflop/s (ms)   MAGMA error
%===================================================================================
         300    32    32    31      0.00 ( 812.29)     ---   (  ---  )     ---
         300    64    64    63     97.02 (   0.20)     ---   (  ---  )     ---
         300    64    64    63     95.97 (   0.20)     ---   (  ---  )     ---
         300    64    64    63     93.70 (   0.20)     ---   (  ---  )     ---
         300    64    64    63     97.98 (   0.19)     ---   (  ---  )     ---
         300    64    64    63     91.44 (   0.21)     ---   (  ---  )     ---
         300    64    64    63     97.02 (   0.20)     ---   (  ---  )     ---
         300    96    96    95    360.46 (   0.20)     ---   (  ---  )     ---
         300    96    96    95    367.88 (   0.20)     ---   (  ---  )     ---
         300    96    96    95    393.61 (   0.18)     ---   (  ---  )     ---
         300    96    96    95    383.19 (   0.19)     ---   (  ---  )     ---
         300    96    96    95    367.43 (   0.20)     ---   (  ---  )     ---
         300    96    96    95    385.13 (   0.19)     ---   (  ---  )     ---
         300    96    96    95    367.88 (   0.20)     ---   (  ---  )     ---
         300    96    96    95    391.58 (   0.19)     ---   (  ---  )     ---
         300   128   128   127    688.90 (   0.25)     ---   (  ---  )     ---
         300   128   128   127    715.34 (   0.24)     ---   (  ---  )     ---
         300   128   128   127    706.77 (   0.24)     ---   (  ---  )     ---
         300   128   128   127    733.87 (   0.23)     ---   (  ---  )     ---
         300   128   128   127    697.72 (   0.24)     ---   (  ---  )     ---
         300   128   128   127    706.77 (   0.24)     ---   (  ---  )     ---
         300   128   128   127    730.84 (   0.23)     ---   (  ---  )     ---
         300   128   128   127    706.07 (   0.24)     ---   (  ---  )     ---
         300   160   160   159    974.07 (   0.31)     ---   (  ---  )     ---
         300   160   160   159   1044.90 (   0.29)     ---   (  ---  )     ---
         300   160   160   159   1019.90 (   0.30)     ---   (  ---  )     ---
         300   160   160   159   1065.80 (   0.29)     ---   (  ---  )     ---
         300   160   160   159   1037.27 (   0.29)     ---   (  ---  )     ---
         300   160   160   159   1062.25 (   0.29)     ---   (  ---  )     ---
         300   160   160   159   1033.08 (   0.30)     ---   (  ---  )     ---
         300   160   160   159   1055.24 (   0.29)     ---   (  ---  )     ---
         300   192   192   191   1451.82 (   0.38)     ---   (  ---  )     ---
         300   192   192   191   1466.62 (   0.37)     ---   (  ---  )     ---
         300   192   192   191   1482.69 (   0.37)     ---   (  ---  )     ---
         300   192   192   191   1518.90 (   0.36)     ---   (  ---  )     ---
         300   192   192   191   1463.82 (   0.37)     ---   (  ---  )     ---
         300   192   192   191   1495.21 (   0.37)     ---   (  ---  )     ---
         300   192   192   191   1499.11 (   0.37)     ---   (  ---  )     ---
         300   192   192   191   1519.90 (   0.36)     ---   (  ---  )     ---
         300   224   224   223   1650.76 (   0.46)     ---   (  ---  )     ---
         300   224   224   223   1743.96 (   0.44)     ---   (  ---  )     ---
         300   224   224   223   1736.42 (   0.44)     ---   (  ---  )     ---
         300   224   224   223   1785.65 (   0.43)     ---   (  ---  )     ---
         300   224   224   223   1741.13 (   0.44)     ---   (  ---  )     ---
         300   224   224   223   1789.63 (   0.43)     ---   (  ---  )     ---
         300   224   224   223   1732.67 (   0.44)     ---   (  ---  )     ---
         300   224   224   223   1772.84 (   0.43)     ---   (  ---  )     ---
         300   256   256   255   2234.72 (   0.60)     ---   (  ---  )     ---
         300   256   256   255   2168.99 (   0.62)     ---   (  ---  )     ---
         300   256   256   255   2197.91 (   0.61)     ---   (  ---  )     ---
         300   256   256   255   2253.59 (   0.59)     ---   (  ---  )     ---
         300   256   256   255   2245.46 (   0.60)     ---   (  ---  )     ---
         300   256   256   255   2151.51 (   0.62)     ---   (  ---  )     ---
         300   256   256   255   2238.29 (   0.60)     ---   (  ---  )     ---
         300   256   256   255   2230.27 (   0.60)     ---   (  ---  )     ---
         300   288   287   287   2554.05 (   0.77)     ---   (  ---  )     ---
         300   288   287   287   2483.04 (   0.79)     ---   (  ---  )     ---
         300   288   287   287   2514.96 (   0.78)     ---   (  ---  )     ---
         300   288   287   287   2554.05 (   0.77)     ---   (  ---  )     ---
         300   288   287   287   2581.33 (   0.76)     ---   (  ---  )     ---
         300   288   287   287   2540.62 (   0.77)     ---   (  ---  )     ---
         300   288   287   287   2540.62 (   0.77)     ---   (  ---  )     ---
         300   288   287   287   2518.04 (   0.78)     ---   (  ---  )     ---
         300   320   320   319   2711.90 (   0.93)     ---   (  ---  )     ---
         300   320   320   319   2742.16 (   0.92)     ---   (  ---  )     ---
         300   320   320   319   2718.18 (   0.93)     ---   (  ---  )     ---
         300   320   320   319   2753.59 (   0.92)     ---   (  ---  )     ---
         300   320   320   319   2768.74 (   0.91)     ---   (  ---  )     ---
         300   320   320   319   2750.72 (   0.92)     ---   (  ---  )     ---
         300   320   320   319   2742.16 (   0.92)     ---   (  ---  )     ---
         300   320   320   319   2709.12 (   0.93)     ---   (  ---  )     ---
         300   352   350   351   2974.01 (   1.11)     ---   (  ---  )     ---
         300   352   350   351   2998.59 (   1.10)     ---   (  ---  )     ---
         300   352   350   351   2939.13 (   1.12)     ---   (  ---  )     ---
         300   352   350   351   3028.90 (   1.09)     ---   (  ---  )     ---
         300   352   350   351   3031.57 (   1.08)     ---   (  ---  )     ---
         300   352   350   351   2987.55 (   1.10)     ---   (  ---  )     ---
         300   352   350   351   2937.25 (   1.12)     ---   (  ---  )     ---
         300   352   350   351   3003.82 (   1.09)     ---   (  ---  )     ---
         300   384   382   383   3098.61 (   1.32)     ---   (  ---  )     ---
         300   384   382   383   3127.37 (   1.31)     ---   (  ---  )     ---
         300   384   382   383   3079.72 (   1.33)     ---   (  ---  )     ---
         300   384   382   383   3158.41 (   1.30)     ---   (  ---  )     ---
         300   384   382   383   3165.98 (   1.29)     ---   (  ---  )     ---
         300   384   382   383   3139.37 (   1.30)     ---   (  ---  )     ---
         300   384   382   383   3119.99 (   1.31)     ---   (  ---  )     ---
         300   384   382   383   3122.26 (   1.31)     ---   (  ---  )     ---
         300   416   416   414   3209.52 (   1.62)     ---   (  ---  )     ---
         300   416   416   414   3216.15 (   1.61)     ---   (  ---  )     ---
         300   416   416   414   3153.30 (   1.65)     ---   (  ---  )     ---
         300   416   416   414   3254.11 (   1.60)     ---   (  ---  )     ---
         300   416   416   414   3231.90 (   1.61)     ---   (  ---  )     ---
         300   416   416   414   3233.82 (   1.61)     ---   (  ---  )     ---
         300   416   416   414   3226.15 (   1.61)     ---   (  ---  )     ---
         300   416   416   414   3140.12 (   1.65)     ---   (  ---  )     ---
         300   448   448   446   3336.83 (   1.94)     ---   (  ---  )     ---
         300   448   448   446   3347.53 (   1.93)     ---   (  ---  )     ---
         300   448   448   446   3316.44 (   1.95)     ---   (  ---  )     ---
         300   448   448   446   3396.55 (   1.90)     ---   (  ---  )     ---
         300   448   448   446   3380.90 (   1.91)     ---   (  ---  )     ---
         300   448   448   446   3414.50 (   1.89)     ---   (  ---  )     ---
         300   448   448   446   3371.66 (   1.92)     ---   (  ---  )     ---
         300   448   448   446   3366.64 (   1.92)     ---   (  ---  )     ---
         300   480   480   479   3506.96 (   2.27)     ---   (  ---  )     ---
         300   480   480   479   3493.04 (   2.28)     ---   (  ---  )     ---
         300   480   480   479   3446.23 (   2.31)     ---   (  ---  )     ---
         300   480   480   479   3539.63 (   2.25)     ---   (  ---  )     ---
         300   480   480   479   3535.14 (   2.25)     ---   (  ---  )     ---
         300   480   480   479   3561.88 (   2.24)     ---   (  ---  )     ---
         300   480   480   479   3530.66 (   2.26)     ---   (  ---  )     ---
         300   480   480   479   3513.23 (   2.27)     ---   (  ---  )     ---
         300   512   512   511   3648.69 (   2.97)     ---   (  ---  )     ---
         300   512   512   511   3622.77 (   2.99)     ---   (  ---  )     ---
         300   512   512   511   3577.66 (   3.02)     ---   (  ---  )     ---
         300   512   512   511   3681.84 (   2.94)     ---   (  ---  )     ---
         300   512   512   511   3693.53 (   2.93)     ---   (  ---  )     ---
         300   512   512   511   3654.57 (   2.96)     ---   (  ---  )     ---
         300   512   512   511   3657.22 (   2.96)     ---   (  ---  )     ---
         300   512   512   511   3637.58 (   2.97)     ---   (  ---  )     ---
START OF JOBSPEC
{"resources": [{"type": "node", "count": 1, "with": [{"type": "slot", "count": 8, "with": [{"type": "core", "count": 1}, {"type": "gpu", "count": 1}], "label": "task"}]}], "tasks": [{"command": ["/opt/magma/magma-2.8.0/build/testing/testing_dgemm_vbatched", "--ngpu", "1"], "slot": "task", "count": {"per_slot": 1}}], "attributes": {"system": {"duration": 0, "cwd": "/opt/magma/magma-2.8.0/example", "shell": {"options": {"rlimit": {"cpu": -1, "fsize": -1, "data": -1, "stack": 10485760, "core": -1, "nofile": 1048576, "as": -1, "rss": -1, "nproc": -1}, "cpu-affinity": "per-task", "gpu-affinity": "per-task"}}}, "user": {"study_id": "magma-8gpu-vbatched-1-iter-1"}}, "version": 1}
START OF EVENTLOG
{"timestamp":1724705528.837651,"name":"init"}
{"timestamp":1724705528.8382297,"name":"starting"}
{"timestamp":1724705528.8520608,"name":"shell.init","context":{"service":"0-shell-fGjmCq4T","leader-rank":6,"size":1}}
{"timestamp":1724705528.8658872,"name":"shell.start","context":{"taskmap":{"version":1,"map":[[0,1,8,1]]}}}
{"timestamp":1724705541.9517837,"name":"shell.task-exit","context":{"localid":6,"rank":6,"state":"Exited","pid":76,"wait_status":0,"signaled":0,"exitcode":0}}
{"timestamp":1724705542.2869401,"name":"complete","context":{"status":0}}
{"timestamp":1724705542.2869699,"name":"done"}

