Start time: 1725126356
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.56,    4.95,  19.80,      0.125,   13.53,    2.48,  19.84,     0.250,   11.26,    5.96,  23.85
            1,      0.750,   14.96,   13.46,  17.94,      0.375,   14.90,    6.76,  18.02,     0.750,   14.13,   14.25,  19.00
            2,      1.250,   15.54,   21.59,  17.27,      0.625,   15.49,   10.83,  17.33,     1.250,   14.39,   23.32,  18.65
            3,      1.750,   15.53,   30.25,  17.28,      0.875,   15.82,   14.84,  16.96,     1.750,   14.70,   31.97,  18.27
            4,      2.250,   15.85,   38.10,  16.93,      1.125,   15.78,   19.13,  17.01,     2.250,   15.63,   38.63,  17.17
            6,      3.250,   16.91,   51.58,  15.87,      1.625,   16.84,   25.91,  15.94,     3.250,   15.96,   54.65,  16.82
            8,      4.250,   17.55,   65.01,  15.30,      2.125,   17.52,   32.56,  15.32,     4.250,   16.40,   69.56,  16.37
           12,      6.250,   19.16,   87.54,  14.01,      3.125,   19.07,   44.00,  14.08,     6.250,   20.42,   82.16,  13.15
           16,      8.250,   21.30,  103.97,  12.60,      4.125,   21.28,   52.03,  12.61,     8.250,   25.55,   86.66,  10.50
           20,     10.250,   25.91,  106.20,  10.36,      5.125,   25.90,   53.11,  10.36,    10.250,   31.43,   87.55,   8.54
           24,     12.250,   32.35,  101.65,   8.30,      6.125,   32.16,   51.13,   8.35,    12.250,   37.33,   88.09,   7.19
           28,     14.250,   35.17,  108.77,   7.63,      7.125,   35.00,   54.64,   7.67,    14.250,   43.54,   87.85,   6.16
           32,     16.250,   39.63,  110.07,   6.77,      8.125,   39.57,   55.12,   6.78,    16.250,   48.70,   89.57,   5.51
           40,     20.250,   48.89,  111.18,   5.49,     10.125,   48.95,   55.52,   5.48,    20.250,   60.91,   89.24,   4.41
           48,     24.250,   58.94,  110.45,   4.55,     12.125,   58.71,   55.44,   4.57,    24.250,   73.34,   88.76,   3.66
           56,     28.250,   69.02,  109.87,   3.89,     14.125,   69.21,   54.78,   3.88,    28.250,   85.68,   88.51,   3.13
           64,     32.250,   79.39,  109.04,   3.38,     16.125,   79.65,   54.34,   3.37,    32.250,   98.42,   87.96,   2.73
           80,     40.250,   98.12,  110.12,   2.74,     20.125,   97.95,   55.16,   2.74,    40.250,  123.88,   87.22,   2.17
          104,     52.250,  128.95,  108.77,   2.08,     26.125,  129.23,   54.27,   2.08,    52.250,  161.69,   86.74,   1.66
          120,     60.250,  150.07,  107.77,   1.79,     30.125,  151.76,   53.29,   1.77,    60.250,  186.91,   86.53,   1.44
          128,     64.250,  162.53,  106.12,   1.65,     32.125,  162.28,   53.14,   1.65,    64.250,  199.70,   86.37,   1.34
          160,     80.250,  197.82,  108.90,   1.36,     40.125,  197.65,   54.50,   1.36,    80.250,  254.81,   84.54,   1.05
          192,     96.250,  245.12,  105.41,   1.10,     48.125,  244.56,   52.82,   1.10,    96.250,  305.33,   84.62,   0.88
          256,    128.250,  323.41,  106.45,   0.83,     64.125,  323.65,   53.19,   0.83,   128.250,  406.77,   84.63,   0.66
          320,    160.250,  407.98,  105.44,   0.66,     80.125,  406.70,   52.89,   0.66,   160.250,  508.54,   84.59,   0.53
          512,    256.250,  664.58,  103.50,   0.40,    128.125,  664.86,   51.73,   0.40,   256.250,  813.04,   84.60,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126632
