Start time: 1725127078
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-114
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.29
1                      15.29
2                      15.58
4                      15.28
8                      15.72
16                     15.71
32                     15.74
64                     15.79
128                    15.86
256                    15.88
512                    15.99
1024                   16.15
2048                   16.42
4096                   17.33
8192                   19.43
16384                  20.24
32768                  22.06
65536                  25.03
131072                 66.14
262144                 79.76
524288                139.40
1048576               257.15
2097152               495.42
4194304               936.88
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.72
4                       3.51
8                       7.02
16                     13.72
32                     28.19
64                     56.47
128                   112.86
256                   225.11
512                   437.87
1024                  874.00
2048                 1709.50
4096                 3259.08
8192                 5812.93
16384                7789.87
32768                9657.86
65536               10836.89
131072              10454.02
262144              10965.93
524288              11572.45
1048576             11830.81
2097152             11983.73
4194304             12051.47
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-172
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.23
1                      15.24
2                      15.49
4                      15.23
8                      15.67
16                     15.70
32                     15.69
64                     15.78
128                    15.84
256                    15.84
512                    15.91
1024                   16.10
2048                   16.35
4096                   17.24
8192                   19.33
16384                  20.18
32768                  21.94
65536                  24.98
131072                 66.09
262144                 79.03
524288                138.17
1048576               256.05
2097152               491.13
4194304               932.27
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.79
4                       3.51
8                       7.18
16                     14.25
32                     28.00
64                     55.70
128                   113.12
256                   228.21
512                   452.82
1024                  879.23
2048                 1760.09
4096                 3298.55
8192                 5906.60
16384                7840.47
32768                9293.38
65536               10867.51
131072              10290.42
262144              10918.91
524288              11423.54
1048576             11748.13
2097152             11984.39
4194304             11746.42
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-237
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.37
1                      12.39
2                      12.53
4                      12.36
8                      12.81
16                     12.84
32                     12.83
64                     13.50
128                    12.89
256                    12.94
512                    13.03
1024                   13.14
2048                   13.33
4096                   13.90
8192                   15.25
16384                  16.21
32768                  17.51
