Start time: 1725094880
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.67,    4.91,  19.63,      0.125,   13.66,    2.46,  19.65,     0.250,   11.42,    5.88,  23.51
            1,      0.750,   15.10,   13.33,  17.78,      0.375,   15.13,    6.65,  17.75,     0.750,   14.22,   14.15,  18.87
            2,      1.250,   15.68,   21.40,  17.12,      0.625,   15.29,   10.97,  17.56,     1.250,   14.50,   23.14,  18.51
            3,      1.750,   15.66,   30.00,  17.14,      0.875,   15.59,   15.07,  17.22,     1.750,   14.84,   31.66,  18.09
            4,      2.250,   16.00,   37.74,  16.78,      1.125,   15.98,   18.90,  16.80,     2.250,   15.81,   38.20,  16.98
            6,      3.250,   17.27,   50.51,  15.54,      1.625,   17.23,   25.32,  15.58,     3.250,   16.16,   53.99,  16.61
            8,      4.250,   17.80,   64.11,  15.08,      2.125,   17.69,   32.25,  15.18,     4.250,   16.62,   68.62,  16.15
           12,      6.250,   19.42,   86.40,  13.82,      3.125,   19.36,   43.34,  13.87,     6.250,   20.73,   80.95,  12.95
           16,      8.250,   21.64,  102.33,  12.40,      4.125,   21.62,   51.22,  12.42,     8.250,   25.93,   85.42,  10.35
           20,     10.250,   26.28,  104.71,  10.22,      5.125,   26.44,   52.03,  10.15,    10.250,   31.99,   86.02,   8.39
           24,     12.250,   32.87,  100.06,   8.17,      6.125,   32.79,   50.14,   8.19,    12.250,   38.22,   86.03,   7.02
           28,     14.250,   35.82,  106.78,   7.49,      7.125,   35.72,   53.55,   7.52,    14.250,   44.27,   86.41,   6.06
           32,     16.250,   40.38,  108.03,   6.65,      8.125,   40.35,   54.05,   6.65,    16.250,   49.61,   87.93,   5.41
           40,     20.250,   49.79,  109.18,   5.39,     10.125,   49.80,   54.58,   5.39,    20.250,   61.45,   88.45,   4.37
           48,     24.250,   59.78,  108.89,   4.49,     12.125,   59.81,   54.42,   4.49,    24.250,   74.64,   87.22,   3.60
           56,     28.250,   70.16,  108.09,   3.83,     14.125,   70.47,   53.81,   3.81,    28.250,   87.03,   87.14,   3.08
           64,     32.250,   81.05,  106.82,   3.31,     16.125,   81.09,   53.38,   3.31,    32.250,  100.27,   86.33,   2.68
           80,     40.250,  100.21,  107.82,   2.68,     20.125,   99.85,   54.10,   2.69,    40.250,  126.51,   85.41,   2.12
          104,     52.250,  131.55,  106.62,   2.04,     26.125,  131.15,   53.47,   2.05,    52.250,  165.00,   85.00,   1.63
          120,     60.250,  152.92,  105.76,   1.76,     30.125,  154.86,   52.22,   1.73,    60.250,  190.91,   84.72,   1.41
          128,     64.250,  165.68,  104.10,   1.62,     32.125,  165.33,   52.16,   1.62,    64.250,  202.36,   85.23,   1.33
          160,     80.250,  201.44,  106.94,   1.33,     40.125,  201.78,   53.38,   1.33,    80.250,  260.04,   82.84,   1.03
          192,     96.250,  249.82,  103.42,   1.07,     48.125,  246.73,   52.36,   1.09,    96.250,  311.08,   83.06,   0.86
          256,    128.250,  329.61,  104.45,   0.81,     64.125,  330.66,   52.06,   0.81,   128.250,  411.64,   83.63,   0.65
          320,    160.250,  415.75,  103.47,   0.65,     80.125,  413.50,   52.02,   0.65,   160.250,  514.61,   83.59,   0.52
          512,    256.250,  677.51,  101.53,   0.40,    128.125,  675.50,   50.92,   0.40,   256.250,  826.53,   83.22,   0.32
------------------------------------------------------------------------------------------------------------------------------
End time: 1725095161
