Start time: 1725125802
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.68,    4.91,  19.62,      0.125,   13.67,    2.45,  19.63,     0.250,   11.57,    5.80,  23.21
            1,      0.750,   14.99,   13.43,  17.91,      0.375,   14.97,    6.72,  17.93,     0.750,   14.17,   14.20,  18.94
            2,      1.250,   15.23,   22.03,  17.63,      0.625,   15.17,   11.06,  17.69,     1.250,   14.47,   23.19,  18.56
            3,      1.750,   15.70,   29.92,  17.10,      0.875,   15.67,   14.99,  17.13,     1.750,   14.81,   31.71,  18.12
            4,      2.250,   16.05,   37.62,  16.72,      1.125,   15.98,   18.90,  16.80,     2.250,   15.23,   39.65,  17.62
            6,      3.250,   17.23,   50.63,  15.58,      1.625,   17.07,   25.56,  15.73,     3.250,   16.41,   53.18,  16.36
            8,      4.250,   17.78,   64.16,  15.10,      2.125,   17.85,   31.96,  15.04,     4.250,   16.59,   68.77,  16.18
           12,      6.250,   19.39,   86.53,  13.84,      3.125,   19.41,   43.22,  13.83,     6.250,   20.72,   80.96,  12.95
           16,      8.250,   21.78,  101.68,  12.32,      4.125,   21.62,   51.22,  12.42,     8.250,   25.97,   85.28,  10.34
           20,     10.250,   26.23,  104.88,  10.23,      5.125,   26.20,   52.51,  10.25,    10.250,   31.70,   86.79,   8.47
           24,     12.250,   32.73,  100.48,   8.20,      6.125,   32.56,   50.50,   8.24,    12.250,   37.62,   87.42,   7.14
           28,     14.250,   35.46,  107.87,   7.57,      7.125,   35.53,   53.83,   7.56,    14.250,   44.32,   86.30,   6.06
           32,     16.250,   40.34,  108.13,   6.65,      8.125,   40.25,   54.19,   6.67,    16.250,   49.54,   88.05,   5.42
           40,     20.250,   49.64,  109.50,   5.41,     10.125,   49.29,   55.14,   5.45,    20.250,   61.35,   88.60,   4.38
           48,     24.250,   59.12,  110.10,   4.54,     12.125,   59.16,   55.01,   4.54,    24.250,   74.29,   87.62,   3.61
           56,     28.250,   70.07,  108.22,   3.83,     14.125,   70.00,   54.17,   3.83,    28.250,   86.38,   87.79,   3.11
           64,     32.250,   80.10,  108.08,   3.35,     16.125,   80.09,   54.05,   3.35,    32.250,  100.06,   86.52,   2.68
           80,     40.250,   99.69,  108.38,   2.69,     20.125,   98.58,   54.80,   2.72,    40.250,  124.92,   86.49,   2.15
          104,     52.250,  130.68,  107.33,   2.05,     26.125,  131.14,   53.48,   2.05,    52.250,  163.08,   86.00,   1.65
          120,     60.250,  152.13,  106.31,   1.76,     30.125,  154.37,   52.39,   1.74,    60.250,  188.31,   85.89,   1.43
          128,     64.250,  164.88,  104.60,   1.63,     32.125,  164.85,   52.31,   1.63,    64.250,  201.48,   85.60,   1.33
          160,     80.250,  200.06,  107.68,   1.34,     40.125,  199.35,   54.03,   1.35,    80.250,  257.48,   83.67,   1.04
          192,     96.250,  247.13,  104.55,   1.09,     48.125,  247.52,   52.19,   1.08,    96.250,  307.75,   83.95,   0.87
          256,    128.250,  326.38,  105.48,   0.82,     64.125,  327.16,   52.61,   0.82,   128.250,  411.07,   83.75,   0.65
          320,    160.250,  408.59,  105.28,   0.66,     80.125,  405.05,   53.10,   0.66,   160.250,  512.64,   83.91,   0.52
          512,    256.250,  671.23,  102.48,   0.40,    128.125,  670.10,   51.33,   0.40,   256.250,  820.98,   83.79,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725126081
