Start time: 1725157362
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.91,   23.05,  92.18,      0.125,    2.96,   11.34,  90.69,     0.250,    1.76,   38.04, 152.17
            1,      0.750,    3.47,   57.99,  77.31,      0.375,    3.47,   29.03,  77.43,     0.750,    2.95,   68.29,  91.06
            2,      1.250,    3.54,   94.71,  75.77,      0.625,    3.53,   47.55,  76.09,     1.250,    3.11,  107.93,  86.34
            3,      1.750,    3.68,  127.72,  72.98,      0.875,    3.62,   64.85,  74.11,     1.750,    3.29,  143.00,  81.72
            4,      2.250,    3.83,  157.82,  70.14,      1.125,    3.78,   79.87,  71.00,     2.250,    3.40,  177.85,  79.04
            6,      3.250,    4.06,  214.72,  66.07,      1.625,    3.98,  109.68,  67.50,     3.250,    3.67,  237.84,  73.18
            8,      4.250,    4.48,  254.71,  59.93,      2.125,    4.40,  129.55,  60.97,     4.250,    4.02,  283.51,  66.71
           12,      6.250,    5.52,  303.88,  48.62,      3.125,    5.44,  154.26,  49.36,     6.250,    6.32,  265.46,  42.47
           16,      8.250,    6.58,  336.46,  40.78,      4.125,    6.60,  167.85,  40.69,     8.250,    8.11,  273.10,  33.10
           20,     10.250,    8.30,  331.54,  32.35,      5.125,    8.29,  166.01,  32.39,    10.250,   10.20,  269.78,  26.32
           24,     12.250,   10.54,  312.10,  25.48,      6.125,   10.53,  156.10,  25.49,    12.250,   12.25,  268.44,  21.91
           28,     14.250,   11.52,  332.14,  23.31,      7.125,   11.47,  166.75,  23.40,    14.250,   14.31,  267.27,  18.76
           32,     16.250,   13.05,  334.26,  20.57,      8.125,   13.05,  167.12,  20.57,    16.250,   16.12,  270.60,  16.65
           40,     20.250,   16.25,  334.51,  16.52,     10.125,   16.23,  167.50,  16.54,    20.250,   20.32,  267.58,  13.21
           48,     24.250,   19.65,  331.34,  13.66,     12.125,   19.62,  165.92,  13.68,    24.250,   24.52,  265.52,  10.95
           56,     28.250,   23.13,  327.91,  11.61,     14.125,   23.14,  163.84,  11.60,    28.250,   28.75,  263.77,   9.34
           64,     32.250,   26.66,  324.67,  10.07,     16.125,   26.73,  161.95,  10.04,    32.250,   33.09,  261.64,   8.11
           80,     40.250,   32.99,  327.51,   8.14,     20.125,   32.92,  164.12,   8.15,    40.250,   41.77,  258.64,   6.43
          104,     52.250,   43.55,  322.07,   6.16,     26.125,   43.73,  160.37,   6.14,    52.250,   54.64,  256.71,   4.91
          120,     60.250,   50.75,  318.69,   5.29,     30.125,   51.33,  157.54,   5.23,    60.250,   63.20,  255.91,   4.25
          128,     64.250,   55.12,  312.87,   4.87,     32.125,   55.18,  156.27,   4.86,    64.250,   67.52,  255.44,   3.98
          160,     80.250,   66.90,  322.02,   4.01,     40.125,   66.90,  161.01,   4.01,    80.250,   86.13,  250.11,   3.12
          192,     96.250,   83.03,  311.18,   3.23,     48.125,   82.83,  155.97,   3.24,    96.250,  103.32,  250.07,   2.60
          256,    128.250,  109.60,  314.10,   2.45,     64.125,  109.79,  156.78,   2.44,   128.250,  137.75,  249.93,   1.95
          320,    160.250,  139.23,  308.96,   1.93,     80.125,  139.34,  154.35,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.59,  304.92,   1.19,    128.125,  225.61,  152.45,   1.19,   256.250,  275.65,  249.54,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157518
