Start time: 1725087969
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.76,   24.28,  97.12,      0.125,    2.80,   11.98,  95.84,     0.250,    1.63,   41.10, 164.38
            1,      0.750,    3.62,   55.65,  74.19,      0.375,    3.45,   29.19,  77.85,     0.750,    2.84,   70.89,  94.52
            2,      1.250,    3.59,   93.39,  74.71,      0.625,    3.61,   46.45,  74.32,     1.250,    3.02,  111.18,  88.94
            3,      1.750,    3.67,  127.83,  73.04,      0.875,    3.63,   64.69,  73.93,     1.750,    3.21,  146.12,  83.49
            4,      2.250,    3.82,  158.11,  70.27,      1.125,    3.82,   79.01,  70.23,     2.250,    3.47,  174.26,  77.45
            6,      3.250,    4.20,  207.92,  63.97,      1.625,    3.99,  109.24,  67.23,     3.250,    3.70,  235.53,  72.47
            8,      4.250,    4.43,  257.64,  60.62,      2.125,    4.39,  130.06,  61.20,     4.250,    4.03,  282.95,  66.58
           12,      6.250,    5.46,  307.11,  49.14,      3.125,    5.42,  154.71,  49.51,     6.250,    6.24,  268.87,  43.02
           16,      8.250,    6.58,  336.31,  40.76,      4.125,    6.55,  168.92,  40.95,     8.250,    8.11,  273.04,  33.10
           20,     10.250,    8.24,  334.00,  32.59,      5.125,    8.27,  166.45,  32.48,    10.250,   10.18,  270.18,  26.36
           24,     12.250,   10.52,  312.70,  25.53,      6.125,   10.50,  156.56,  25.56,    12.250,   12.21,  269.29,  21.98
           28,     14.250,   11.51,  332.48,  23.33,      7.125,   11.42,  167.49,  23.51,    14.250,   14.30,  267.46,  18.77
           32,     16.250,   13.03,  334.77,  20.60,      8.125,   13.02,  167.54,  20.62,    16.250,   16.11,  270.72,  16.66
           40,     20.250,   16.25,  334.59,  16.52,     10.125,   16.23,  167.44,  16.54,    20.250,   20.32,  267.54,  13.21
           48,     24.250,   19.64,  331.46,  13.67,     12.125,   19.62,  165.88,  13.68,    24.250,   24.52,  265.52,  10.95
           56,     28.250,   23.12,  327.97,  11.61,     14.125,   23.14,  163.86,  11.60,    28.250,   28.75,  263.72,   9.34
           64,     32.250,   26.67,  324.65,  10.07,     16.125,   26.74,  161.89,  10.04,    32.250,   33.09,  261.61,   8.11
           80,     40.250,   32.99,  327.49,   8.14,     20.125,   32.93,  164.05,   8.15,    40.250,   41.78,  258.60,   6.42
          104,     52.250,   43.56,  321.96,   6.16,     26.125,   43.75,  160.30,   6.14,    52.250,   54.64,  256.68,   4.91
          120,     60.250,   50.76,  318.63,   5.29,     30.125,   51.34,  157.51,   5.23,    60.250,   63.22,  255.82,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.21,  156.18,   4.86,    64.250,   67.53,  255.40,   3.98
          160,     80.250,   66.92,  321.93,   4.01,     40.125,   66.90,  160.99,   4.01,    80.250,   86.15,  250.05,   3.12
          192,     96.250,   82.97,  311.41,   3.24,     48.125,   82.83,  155.97,   3.24,    96.250,  103.33,  250.03,   2.60
          256,    128.250,  109.63,  314.02,   2.45,     64.125,  109.75,  156.84,   2.45,   128.250,  137.75,  249.91,   1.95
          320,    160.250,  139.25,  308.93,   1.93,     80.125,  139.35,  154.35,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.59,  304.91,   1.19,    128.125,  225.60,  152.45,   1.19,   256.250,  275.65,  249.54,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725088125
