Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.59
8                       1.58
16                      1.59
32                      1.74
64                      1.80
128                     1.85
256                     2.34
512                     2.45
1024                    2.67
2048                    2.76
4096                    3.51
8192                    4.01
16384                   5.32
32768                   6.71
65536                   8.71
131072                 13.53
262144                 17.27
524288                 27.89
1048576                49.35
2097152                92.49
4194304               176.86
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.01
2                       7.93
4                      16.10
8                      31.91
16                     64.78
32                    125.61
64                    246.66
128                   482.67
256                   943.22
512                  1730.25
1024                 3381.57
2048                 6012.34
4096                 9093.35
8192                13773.21
16384               19016.51
32768               21827.13
65536               23266.83
131072              24007.63
262144              24349.68
524288              24525.92
1048576             24610.50
2097152             24642.89
4194304             24672.61
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-10
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.59
2                       1.59
4                       1.60
8                       1.60
16                      1.60
32                      1.77
64                      1.82
128                     1.88
256                     2.36
512                     2.47
1024                    2.66
2048                    2.78
4096                    3.51
8192                    4.03
16384                   5.31
32768                   6.94
65536                   8.96
131072                 13.71
262144                 17.28
524288                 27.93
1048576                49.92
2097152                92.44
4194304               176.83
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.89
2                       8.03
4                      16.26
8                      31.81
16                     64.98
32                    126.15
64                    246.63
128                   492.32
256                   940.47
512                  1745.16
1024                 3368.37
2048                 6017.33
4096                 9057.14
8192                13416.84
16384               18972.04
32768               21830.30
65536               23349.74
131072              24003.11
262144              24352.10
524288              24530.83
1048576             24610.64
2097152             24652.01
4194304             24672.25
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-117
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.75
64                      1.80
128                     1.85
256                     2.34
512                     2.49
1024                    2.63
2048                    2.76
4096                    3.49
8192                    4.00
16384                   5.31
32768                   6.76
65536                   8.86
131072                 13.41
262144                 17.22
524288                 27.90
1048576                49.93
2097152                92.15
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.08
4                      16.26
8                      31.76
16                     65.07
32                    127.34
64                    248.64
128                   489.43
256                   943.73
512                  1741.78
1024                 3368.71
2048                 6018.66
4096                 9059.01
8192                13700.68
16384               18940.44
32768               21793.28
65536               23339.00
131072              24001.66
262144              24346.84
524288              24528.31
1048576             24610.65
2097152             24653.12
4194304             24670.92
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-36
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.61
2                       1.62
4                       1.61
8                       1.61
16                      1.62
32                      1.76
64                      1.81
128                     1.86
256                     2.36
512                     2.49
1024                    2.67
2048                    2.79
4096                    3.52
8192                    4.04
16384                   5.33
32768                   6.93
65536                   9.07
131072                 13.86
262144                 17.28
524288                 27.89
1048576                49.88
2097152                92.39
4194304               176.83
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.83
2                       7.87
4                      15.43
8                      30.89
16                     62.70
32                    124.53
64                    247.09
128                   486.58
256                   923.62
512                  1700.52
1024                 3286.24
2048                 5982.11
4096                 9053.83
8192                13680.90
16384               18939.64
32768               21803.00
65536               23333.82
131072              23995.49
262144              24346.84
524288              24527.37
1048576             24610.74
2097152             24651.85
4194304             24672.68
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.64
1                       1.63
2                       1.63
4                       1.64
8                       1.64
