Start time: 1725157568
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.82,   23.78,  95.12,      0.125,    2.91,   11.55,  92.37,     0.250,    1.80,   37.34, 149.38
            1,      0.750,    3.53,   57.10,  76.13,      0.375,    3.53,   28.53,  76.09,     0.750,    2.97,   67.86,  90.47
            2,      1.250,    3.60,   93.13,  74.50,      0.625,    3.61,   46.46,  74.34,     1.250,    3.13,  107.31,  85.84
            3,      1.750,    3.72,  126.18,  72.10,      0.875,    3.68,   63.83,  72.94,     1.750,    3.31,  141.75,  81.00
            4,      2.250,    3.84,  157.12,  69.83,      1.125,    3.82,   79.03,  70.25,     2.250,    3.45,  175.22,  77.88
            6,      3.250,    4.10,  212.99,  65.54,      1.625,    4.03,  108.21,  66.59,     3.250,    3.74,  233.08,  71.72
            8,      4.250,    4.40,  259.05,  60.95,      2.125,    4.39,  130.06,  61.20,     4.250,    4.06,  281.14,  66.15
           12,      6.250,    5.46,  307.05,  49.13,      3.125,    5.41,  155.17,  49.66,     6.250,    6.22,  269.64,  43.14
           16,      8.250,    6.56,  337.38,  40.90,      4.125,    6.52,  169.80,  41.16,     8.250,    8.08,  273.98,  33.21
           20,     10.250,    8.23,  334.32,  32.62,      5.125,    8.25,  166.71,  32.53,    10.250,   10.17,  270.52,  26.39
           24,     12.250,   10.52,  312.61,  25.52,      6.125,   10.48,  156.92,  25.62,    12.250,   12.19,  269.78,  22.02
           28,     14.250,   11.49,  332.86,  23.36,      7.125,   11.43,  167.33,  23.49,    14.250,   14.29,  267.68,  18.78
           32,     16.250,   13.03,  334.80,  20.60,      8.125,   13.01,  167.64,  20.63,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.53,  16.52,     10.125,   16.23,  167.48,  16.54,    20.250,   20.32,  267.51,  13.21
           48,     24.250,   19.64,  331.48,  13.67,     12.125,   19.62,  165.88,  13.68,    24.250,   24.52,  265.51,  10.95
           56,     28.250,   23.12,  327.93,  11.61,     14.125,   23.14,  163.84,  11.60,    28.250,   28.75,  263.81,   9.34
           64,     32.250,   26.66,  324.70,  10.07,     16.125,   26.73,  161.91,  10.04,    32.250,   33.09,  261.65,   8.11
           80,     40.250,   32.99,  327.51,   8.14,     20.125,   32.93,  164.07,   8.15,    40.250,   41.78,  258.62,   6.43
          104,     52.250,   43.53,  322.19,   6.17,     26.125,   43.73,  160.38,   6.14,    52.250,   54.64,  256.70,   4.91
          120,     60.250,   50.75,  318.68,   5.29,     30.125,   51.33,  157.53,   5.23,    60.250,   63.21,  255.88,   4.25
          128,     64.250,   55.14,  312.80,   4.87,     32.125,   55.20,  156.23,   4.86,    64.250,   67.52,  255.44,   3.98
          160,     80.250,   66.90,  322.02,   4.01,     40.125,   66.89,  161.03,   4.01,    80.250,   86.14,  250.08,   3.12
          192,     96.250,   83.03,  311.18,   3.23,     48.125,   82.82,  155.97,   3.24,    96.250,  103.33,  250.05,   2.60
          256,    128.250,  109.64,  314.01,   2.45,     64.125,  109.76,  156.83,   2.45,   128.250,  137.76,  249.90,   1.95
          320,    160.250,  139.23,  308.96,   1.93,     80.125,  139.37,  154.33,   1.93,   160.250,  172.29,  249.68,   1.56
          512,    256.250,  225.60,  304.90,   1.19,    128.125,  225.63,  152.43,   1.19,   256.250,  275.70,  249.50,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157724
