Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.57
2                       1.57
4                       1.57
8                       1.57
16                      1.57
32                      1.74
64                      1.79
128                     1.81
256                     2.34
512                     2.45
1024                    2.59
2048                    2.74
4096                    3.51
8192                    4.06
16384                   5.32
32768                   6.93
65536                   9.39
131072                 14.29
262144                 17.13
524288                 27.76
1048576                49.36
2097152                91.90
4194304               177.20
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.77
2                       8.11
4                      16.10
8                      32.57
16                     64.31
32                    129.08
64                    247.31
128                   490.06
256                   944.33
512                  1729.24
1024                 3309.76
2048                 6061.93
4096                 9078.07
8192                13711.97
16384               18893.93
32768               21851.09
65536               23360.59
131072              24015.48
262144              24353.91
524288              24527.80
1048576             24611.97
2097152             24652.66
4194304             24673.47
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-32
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.59
2                       1.59
4                       1.59
8                       1.60
16                      1.60
32                      1.74
64                      1.82
128                     1.87
256                     2.36
512                     2.47
1024                    2.59
2048                    2.77
4096                    3.50
8192                    4.11
16384                   5.31
32768                   6.75
65536                   8.70
131072                 13.65
262144                 17.23
524288                 27.93
1048576                49.39
2097152                91.89
4194304               177.32
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.89
2                       8.13
4                      16.27
8                      32.37
16                     64.08
32                    127.57
64                    246.73
128                   491.33
256                   941.44
512                  1746.18
1024                 3327.23
2048                 5998.91
4096                 9129.69
8192                13666.94
16384               19040.80
32768               21789.35
65536               23286.45
131072              24012.63
262144              24349.77
524288              24524.22
1048576             24610.21
2097152             24652.01
4194304             24673.47
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.58
8                       1.59
16                      1.59
32                      1.75
64                      1.80
128                     1.83
256                     2.34
512                     2.42
1024                    2.58
2048                    2.76
4096                    3.51
8192                    4.12
16384                   5.32
32768                   6.83
65536                   8.72
131072                 13.46
262144                 17.24
524288                 27.93
1048576                49.39
2097152                92.13
4194304               177.31
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.91
2                       8.14
4                      16.25
8                      32.69
16                     64.49
32                    128.29
64                    248.84
128                   488.32
256                   951.87
512                  1752.57
1024                 3356.48
2048                 5938.93
4096                 8839.32
8192                13439.47
16384               18479.78
32768               21739.48
65536               23339.96
131072              24004.63
262144              24343.84
524288              24520.40
1048576             24611.50
2097152             24651.06
4194304             24666.55
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.59
8                       1.59
16                      1.59
32                      1.76
64                      1.80
128                     1.85
256                     2.35
512                     2.45
1024                    2.58
2048                    2.75
4096                    3.52
8192                    4.10
16384                   5.37
32768                   6.80
65536                   8.85
131072                 13.74
262144                 17.23
524288                 27.88
1048576                49.39
2097152                92.45
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.00
2                       8.09
4                      15.96
8                      32.52
16                     64.36
32                    129.02
64                    241.01
128                   493.29
256                   945.02
512                  1790.54
1024                 3321.92
2048                 6015.11
4096                 9133.84
8192                13574.13
16384               19032.49
32768               21847.15
65536               23342.03
131072              24004.27
262144              24349.23
524288              24518.60
1048576             24610.85
2097152             24651.50
4194304             24673.47
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.71
64                      1.77
128                     1.82
256                     2.33
512                     2.42
1024                    2.57
2048                    2.73
4096                    3.49
8192                    4.10
16384                   5.30
32768                   6.95
65536                   8.94
131072                 13.98
262144                 17.16
524288                 27.79
1048576                49.30
