Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.54
1                       1.54
2                       1.54
4                       1.55
8                       1.54
16                      1.55
32                      1.70
64                      1.75
128                     1.79
256                     2.31
512                     2.41
1024                    2.63
2048                    2.71
4096                    3.44
8192                    3.95
16384                   5.26
32768                   6.87
65536                   9.07
131072                 13.89
262144                 17.11
524288                 27.75
1048576                49.72
2097152                91.97
4194304               176.64
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.12
4                      16.37
8                      32.67
16                     65.65
32                    129.92
64                    250.50
128                   496.77
256                   957.37
512                  1769.84
1024                 3354.16
2048                 5952.05
4096                 9023.99
8192                13644.15
16384               18692.56
32768               21433.39
65536               23072.74
131072              23863.44
262144              24237.58
524288              24504.61
1048576             24612.06
2097152             24652.46
4194304             24671.54
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-105
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.54
2                       1.54
4                       1.55
8                       1.55
16                      1.55
32                      1.70
64                      1.75
128                     1.80
256                     2.29
512                     2.46
1024                    2.57
2048                    2.71
4096                    3.47
8192                    3.99
16384                   5.28
32768                   6.75
65536                   8.63
131072                 13.33
262144                 17.13
524288                 27.79
1048576                49.41
2097152                92.29
4194304               176.73
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       8.21
4                      16.14
8                      32.01
16                     65.78
32                    129.62
64                    248.34
128                   488.59
256                   948.75
512                  1753.23
1024                 3412.95
2048                 6051.47
4096                 8765.85
8192                13639.25
16384               19115.59
32768               21893.50
65536               23361.38
131072              24015.18
262144              24354.00
524288              24528.56
1048576             24611.90
2097152             24652.08
4194304             24662.86
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-126
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.59
4                       1.59
8                       1.59
16                      1.59
32                      1.73
64                      1.78
128                     1.82
256                     2.34
512                     2.50
1024                    2.64
2048                    2.77
4096                    3.49
8192                    4.02
16384                   5.31
32768                   6.81
65536                   8.80
131072                 13.62
262144                 17.26
524288                 27.81
1048576                50.07
2097152                91.89
4194304               176.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.05
2                       7.78
4                      16.19
8                      32.66
16                     64.52
32                    127.99
64                    242.96
128                   480.71
256                   930.88
512                  1720.48
1024                 3329.36
2048                 5952.46
4096                 8932.89
8192                13329.13
16384               18461.72
32768               21810.38
65536               23334.10
131072              23983.36
262144              24349.49
524288              24526.27
1048576             24610.29
2097152             24651.19
4194304             24671.16
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-76
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.57
16                      1.58
32                      1.75
64                      1.79
128                     1.83
256                     2.34
512                     2.48
1024                    2.64
2048                    2.74
4096                    3.47
8192                    4.00
16384                   5.30
32768                   6.79
65536                   8.88
131072                 13.55
262144                 17.24
524288                 27.86
1048576                49.94
2097152                92.08
4194304               177.07
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       8.12
4                      15.87
8                      32.45
16                     65.46
32                    129.73
64                    246.29
128                   489.52
256                   944.64
512                  1757.15
1024                 3386.53
2048                 6022.14
4096                 8975.02
8192                13483.46
16384               18770.84
32768               21881.62
65536               23367.51
131072              24011.32
262144              24352.74
524288              24526.28
1048576             24610.73
2097152             24652.31
4194304             24671.56
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-112
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.55
2                       1.56
