Start time: 1725166628
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-2 ccloud-gpu-hpc-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.71
1                      17.39
2                      17.28
4                      17.12
8                      17.19
16                     17.41
32                     17.65
64                     17.55
128                    17.60
256                    17.72
512                    17.92
1024                   18.48
2048                   19.40
4096                   21.20
8192                   24.84
16384                  31.99
32768                  31.73
65536                  39.40
131072                 55.24
262144                 88.09
524288                156.91
1048576               208.70
2097152               311.68
4194304               511.59
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.48
8                       0.95
16                      1.90
32                      3.67
64                      7.32
128                    14.63
256                    29.21
512                    58.26
1024                  113.61
2048                  222.63
4096                  423.99
8192                  756.74
16384                2758.36
32768                4329.90
65536                6171.75
131072               7753.90
262144               8771.91
524288               9063.86
1048576              8817.97
2097152              9023.85
4194304              9148.16
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-2 ccloud-gpu-hpc-24
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.71
1                      16.04
2                      16.13
4                      16.04
8                      15.93
16                     15.95
32                     16.36
64                     16.26
128                    16.27
256                    16.36
512                    16.58
1024                   17.08
2048                   17.99
4096                   19.93
8192                   23.31
16384                  31.35
32768                  30.60
65536                  38.51
131072                 54.73
262144                 90.31
524288                160.08
1048576               218.54
2097152               335.81
4194304               551.46
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.47
8                       0.94
16                      1.89
32                      3.65
64                      7.29
128                    14.57
256                    29.08
512                    55.85
1024                  114.94
2048                  223.31
4096                  424.06
8192                  754.50
16384                2773.68
32768                4326.90
65536                6137.66
131072               7649.08
262144               8740.92
524288               9119.99
1048576              8892.24
2097152              9071.60
4194304              9192.65
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-2 ccloud-gpu-hpc-7
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.71
1                      16.51
2                      16.42
4                      16.27
8                      16.30
16                     16.31
