Start time: 1725162564
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.78
1                       1.78
2                       1.83
4                       1.78
8                       1.78
16                      1.78
32                      1.83
64                      1.95
128                     1.98
256                     2.77
512                     2.85
1024                    3.04
2048                    3.48
4096                    4.48
8192                    5.76
16384                   7.85
32768                   9.84
65536                  12.75
131072                 18.33
262144                 32.21
524288                 59.72
1048576               116.44
2097152               216.36
4194304               427.50
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.90
2                       9.72
4                      19.66
8                      39.30
16                     77.76
32                    157.33
64                    285.29
128                   569.75
256                  1030.61
512                  1968.72
1024                 3595.08
2048                 5511.52
4096                 7771.22
8192                 9823.64
16384               10220.34
32768               10852.93
65536               10976.05
131072              11152.77
262144              11259.81
524288              11306.06
1048576             11197.17
2097152             11190.90
4194304             10141.54
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.71
1                       1.73
2                       1.72
4                       1.71
8                       1.70
16                      1.70
32                      1.75
64                      1.87
128                     1.90
256                     2.69
512                     2.77
1024                    2.96
2048                    3.46
4096                    4.36
8192                    5.71
16384                   7.80
32768                   9.79
65536                  12.73
131072                 18.27
262144                 31.69
524288                 57.68
1048576               109.13
2097152               205.25
4194304               419.36
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.96
2                       9.98
4                      19.77
8                      39.14
16                     79.55
32                    159.74
64                    286.85
128                   572.50
256                  1037.21
512                  1997.78
1024                 3665.70
2048                 5508.09
4096                 7789.31
8192                 9810.12
16384               10344.96
32768               10603.62
65536               10821.80
131072              11017.74
262144              11147.68
524288              10732.74
1048576             10324.44
2097152             10372.75
4194304             10345.46
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-10
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.75
1                       1.73
2                       1.75
4                       1.73
8                       1.72
16                      1.73
32                      1.77
64                      1.89
128                     1.92
256                     2.71
512                     2.80
1024                    2.97
2048                    3.47
4096                    4.37
8192                    5.71
16384                   7.74
32768                   9.79
65536                  12.77
131072                 18.19
262144                 31.20
524288                 55.49
1048576               106.50
2097152               202.45
4194304               422.37
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.91
2                       9.72
4                      19.65
8                      39.61
16                     78.76
32                    156.93
64                    289.18
128                   569.87
256                  1031.39
512                  1932.72
1024                 3655.44
2048                 5486.83
4096                 7849.65
8192                 9672.13
16384               10273.92
32768               10834.99
65536               10942.98
131072              11131.09
262144              11227.07
524288               9301.85
1048576              9532.83
2097152             10006.26
4194304             10016.08
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-13
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.69
1                       1.70
2                       1.70
4                       1.69
8                       1.68
16                      1.68
32                      1.73
64                      1.85
128                     1.87
256                     2.67
512                     2.75
1024                    2.93
2048                    3.43
4096                    4.33
8192                    5.68
16384                   7.78
32768                   9.77
65536                  12.74
131072                 18.29
262144                 31.90
524288                 58.43
1048576               113.96
2097152               210.58
4194304               420.96
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.87
2                       9.84
4                      19.91
8                      39.52
16                     79.22
32                    159.10
64                    288.40
128                   575.63
256                  1032.76
512                  1994.12
1024                 3602.00
2048                 5515.93
4096                 7774.45
8192                 9758.55
16384               10388.43
32768               10872.06
65536               11046.73
131072              11192.88
262144              11235.46
524288               9939.60
1048576              9546.29
2097152             10107.18
4194304              9910.09
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-2
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.71
1                       1.73
2                       1.73
4                       1.71
8                       1.71
16                      1.70
32                      1.75
64                      1.87
128                     1.90
256                     2.69
512                     2.78
1024                    2.96
2048                    3.46
4096                    4.36
8192                    5.67
16384                   7.78
32768                   9.81
65536                  12.75
131072                 18.31
262144                 31.86
524288                 56.83
1048576               109.30
2097152               209.93
4194304               423.48
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.83
2                       9.93
4                      19.73
8                      39.46
16                     79.31
32                    158.70
64                    286.11
128                   576.73
256                  1022.32
512                  2005.60
1024                 3402.12
2048                 5540.21
4096                 7854.40
8192                 9752.25
16384               10338.80
32768               10983.44
65536               11075.38
131072              11231.01
262144              11120.24
524288              11281.00
1048576             11251.47
2097152             11107.30
4194304             10092.27
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-4
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.75
1                       1.76
2                       1.76
4                       1.74
8                       1.73
16                      1.73
32                      1.78
64                      1.90
128                     1.93
256                     2.72
512                     2.81
1024                    2.99
2048                    3.49
4096                    4.39
8192                    5.75
16384                   7.80
32768                   9.82
65536                  12.72
131072                 18.16
262144                 32.35
524288                 61.83
1048576               114.41
2097152               211.27
4194304               430.27
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.92
2                       9.82
4                      19.79
8                      39.64
16                     78.50
32                    158.79
64                    284.40
128                   573.30
256                  1030.48
512                  1996.30
1024                 3533.81
2048                 5544.61
4096                 7836.25
8192                 9637.97
16384               10222.30
32768               10929.26
65536               11142.67
131072              11312.85
262144              11088.79
524288              11100.35
1048576             11138.76
2097152             10979.45
4194304              9949.16
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-6 ccloud-gpu-hpc-5
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.71
1                       1.74
2                       1.74
4                       1.71
8                       1.71
16                      1.71
32                      1.76
64                      1.87
128                     1.90
256                     2.69
512                     2.78
1024                    2.96
2048                    3.40
4096                    4.39
8192                    5.69
16384                   7.80
32768                   9.81
65536                  12.78
131072                 18.27
262144                 31.77
524288                 58.60
1048576               113.65
2097152               210.72
4194304               418.25
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.96
2                       9.61
4                      19.80
8                      39.72
16                     78.45
32                    159.14
64                    289.10
128                   576.69
256                  1034.07
512                  1989.29
1024                 3682.37
2048                 5471.98
4096                 7834.21
8192                 9695.08
16384               10191.59
32768               10796.00
65536               10928.50
131072              11082.99
262144              10999.54
524288              11148.45
1048576             11177.09
2097152             10982.12
4194304             10492.85
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.79
1                       1.78
2                       1.83
4                       1.79
8                       1.79
16                      1.78
32                      1.83
64                      1.95
128                     1.98
256                     2.76
512                     2.84
1024                    3.03
2048                    3.47
4096                    4.45
8192                    5.70
16384                   7.72
32768                   9.74
65536                  12.89
131072                 18.22
262144                 32.18
524288                 58.18
1048576               111.83
2097152               217.11
4194304               422.90
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.84
2                       9.75
4                      19.62
8                      39.34
16                     78.30
32                    156.26
64                    285.51
128                   568.37
256                  1024.18
512                  1972.29
1024                 3599.85
2048                 5485.73
4096                 7807.17
8192                 9511.31
16384               10150.68
32768               10824.74
65536               11084.20
131072              11227.36
262144              11104.00
524288              10675.44
1048576             10325.39
2097152             10480.02
4194304             10294.93
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-10
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.81
1                       1.81
2                       1.86
4                       1.81
8                       1.81
