Start time: 1725168970
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-21
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.78
1                       1.78
2                       1.82
4                       1.78
8                       1.78
16                      1.78
32                      1.82
64                      1.94
128                     1.98
256                     2.76
512                     2.83
1024                    3.02
2048                    3.46
4096                    4.46
8192                    5.73
16384                   7.80
32768                   9.78
65536                  12.84
131072                 18.30
262144                 30.51
524288                 53.34
1048576               102.14
2097152               199.07
4194304               397.48
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.82
2                       9.82
4                      19.61
8                      39.11
16                     78.35
32                    155.08
64                    290.76
128                   579.67
256                  1017.63
512                  1985.92
1024                 3495.04
2048                 5501.63
4096                 7852.55
8192                 9751.03
16384               10196.10
32768               10716.89
65536               10888.54
131072              11051.43
262144              11168.70
524288              11241.07
1048576             11183.31
2097152             11065.62
4194304             10764.77
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-23
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.80
1                       1.78
2                       1.81
4                       1.78
8                       1.78
16                      1.78
32                      1.83
64                      1.94
128                     1.97
256                     2.76
512                     2.84
1024                    3.03
2048                    3.49
4096                    4.42
8192                    5.75
16384                   7.81
32768                   9.87
65536                  12.85
131072                 18.32
262144                 30.84
524288                 54.88
1048576               107.15
2097152               204.53
4194304               406.52
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.89
2                       9.84
4                      19.58
8                      39.16
16                     78.56
32                    157.13
64                    288.08
128                   580.95
256                  1042.30
512                  2002.06
1024                 3393.33
2048                 5456.97
4096                 7661.60
8192                 9690.29
16384               10240.92
32768               10680.32
65536               10859.79
131072              11034.42
262144              11322.20
524288              11369.33
1048576             11254.62
2097152             11039.86
4194304             10765.83
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-26
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.89
1                       1.85
2                       1.87
4                       1.85
8                       1.85
16                      1.85
32                      1.90
64                      2.02
128                     2.05
256                     2.83
512                     2.91
1024                    3.15
2048                    3.62
4096                    4.45
8192                    5.84
16384                   7.91
32768                   9.98
65536                  12.94
131072                 18.36
262144                 31.10
524288                 53.66
1048576               102.78
2097152               198.35
4194304               395.17
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.84
2                       9.66
4                      19.23
8                      38.35
16                     77.10
32                    155.07
64                    283.81
128                   564.73
256                  1005.95
512                  1869.66
1024                 3398.44
2048                 5323.33
4096                 7638.16
8192                 9570.71
16384               10267.99
32768               10785.51
65536               10948.38
131072              11085.91
262144              11177.94
524288              11223.87
1048576             11174.67
2097152             11024.10
4194304             10880.99
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-29
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.83
1                       1.81
2                       1.83
4                       1.81
8                       1.81
16                      1.81
32                      1.85
64                      1.96
128                     1.99
256                     2.78
512                     2.86
1024                    3.04
2048                    3.52
4096                    4.43
8192                    5.69
16384                   7.76
32768                   9.78
65536                  12.77
131072                 18.33
262144                 30.75
524288                 54.05
1048576               105.75
2097152               201.57
4194304               398.13
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.87
2                       9.63
4                      19.52
8                      38.96
16                     77.36
32                    155.74
64                    273.34
128                   568.61
256                  1007.37
512                  1863.08
1024                 3488.72
2048                 5421.54
4096                 7689.26
8192                 9559.39
16384               10326.66
32768               10786.09
65536               10941.12
131072              11063.05
262144              11050.37
524288              11179.58
1048576             11152.58
2097152             11037.58
4194304             10841.80
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-22
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.88
1                       1.86
2                       1.87
4                       1.85
8                       1.86
16                      1.85
32                      1.90
64                      2.02
128                     2.05
256                     2.83
512                     2.91
1024                    3.15
2048                    3.60
4096                    4.45
8192                    5.82
16384                   7.88
32768                   9.93
65536                  12.95
131072                 18.32
262144                 30.97
524288                 53.55
1048576               103.29
2097152               200.32
4194304               395.33
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.83
2                       9.69
4                      19.11
8                      38.81
16                     77.17
32                    154.88
64                    284.52
128                   562.05
256                  1005.58
512                  1906.99
1024                 3533.10
2048                 5501.41
4096                 7657.14
8192                 9627.49
16384               10270.52
32768               10731.71
65536               10826.31
131072              10994.38
262144              11107.61
524288              11217.88
1048576             11225.14
2097152             10947.54
4194304             10869.17
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-2
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.83
1                       1.80
2                       1.82
4                       1.80
8                       1.80
16                      1.80
32                      1.85
64                      1.97
128                     2.00
256                     2.79
512                     2.86
1024                    3.06
2048                    3.55
4096                    4.41
8192                    5.79
16384                   7.86
32768                   9.93
65536                  12.84
131072                 18.23
262144                 31.30
524288                 55.31
1048576               106.77
2097152               203.69
4194304               404.15
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.91
2                       9.77
4                      19.21
8                      39.40
16                     78.45
32                    156.64
64                    287.33
128                   575.07
256                  1038.25
512                  1973.81
1024                 3451.91
2048                 5390.69
4096                 7755.57
8192                 9697.51
16384               10191.02
32768               10857.96
65536               10972.86
131072              11107.85
262144              11119.37
524288              10845.68
1048576             10287.98
2097152             10496.35
4194304             10351.81
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-9 ccloud-gpu-hpc-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.52
1                       1.55
2                       1.55
4                       1.52
8                       1.52
16                      1.53
32                      1.57
64                      1.68
128                     1.71
256                     2.50
512                     2.58
1024                    2.76
2048                    3.20
4096                    4.18
8192                    5.47
16384                   7.50
32768                   9.50
65536                  12.43
131072                 17.67
262144                 29.50
524288                 52.49
1048576               101.72
2097152               198.73
4194304               392.96
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       5.17
2                      10.36
4                      20.36
8                      41.48
16                     82.86
32                    163.98
64                    305.49
128                   600.32
256                  1072.73
512                  2077.33
1024                 3529.68
2048                 5645.72
4096                 7987.75
8192                 9661.37
16384               10323.09
32768               10960.83
65536               10982.93
131072              11088.92
262144              11152.72
524288              11161.31
1048576             11206.14
2097152             11007.40
4194304             10860.09
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-21 ccloud-gpu-hpc-23
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.70
1                       1.70
2                       1.74
4                       1.70
8                       1.70
16                      1.70
32                      1.75
64                      1.87
128                     1.90
256                     2.68
512                     2.76
1024                    2.94
2048                    3.39
4096                    4.38
8192                    5.64
16384                   7.74
32768                   9.75
65536                  12.73
131072                 18.10
262144                 30.83
524288                 55.53
1048576               106.42
2097152               210.11
4194304               405.58
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.91
2                       9.75
4                      19.74
8                      39.47
16                     77.87
32                    157.51
64                    283.83
128                   573.38
256                  1022.64
512                  1896.16
1024                 3633.36
2048                 5544.17
4096                 7807.12
8192                 9651.51
16384               10074.55
32768               10755.00
65536               10836.28
131072              11028.97
262144              11190.60
524288              11214.89
1048576             11199.75
2097152             11011.19
4194304             10736.98
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-21 ccloud-gpu-hpc-26
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.78
1                       1.80
2                       1.80
4                       1.78
8                       1.78
