,,,,
Spend by 'Additional Info' ,Month,,,
Row Labels,8,9,(empty),Total Result
LLNL-AZURE-2,23776.8934881408,7278.98754439832,,31055.8810325377
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-11003557-vmss_0"",""ContainerId"":""bb1fe8db-642f-4f14-9efd-00df5df7bd2b"",""NodeId"":""bf04c2d5-7979-cb63-2366-e4e5bf41023c""}",9.31000269949435E-06,,,9.31000269949435E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-11027255-vmss_1"",""ContainerId"":""c566fc6a-cf50-4996-b132-09b229b7607f"",""NodeId"":""51e0057c-bb07-8f0a-6d13-61ec38922db0""}",3.47774773836136E-07,,,3.47774773836136E-07
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-14173555-vmss_0"",""ContainerId"":""f67d35ae-0759-4a4f-ae23-325c14c16d23"",""NodeId"":""15df9b01-31b0-f196-9525-afdb2abe6bd7""}",1.53035341948271E-05,,,1.53035341948271E-05
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-14997289-vmss_0"",""ContainerId"":""13908813-778e-4194-bb9e-afb57bb4b134"",""NodeId"":""f4f36cbd-84f2-5475-54f6-25509ea9f995""}",4.66623924672603E-06,,,4.66623924672603E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-16196062-vmss_0"",""ContainerId"":""cb2ef012-9c30-4822-9d0b-b0cc049f72e3"",""NodeId"":""7f43d10d-8acc-d612-947f-a6325fe9f598""}",2.66497828066349E-06,,,2.66497828066349E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-16196062-vmss_1"",""ContainerId"":""8f12598c-1c63-43de-9a84-e80e900e76f2"",""NodeId"":""f440089a-3f26-281e-7947-853c4af5c281""}",7.10977502167224E-06,,,7.10977502167224E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-20131114-vmss_0"",""ContainerId"":""9a0ee604-283f-4dc3-baa0-2777f897f7ca"",""NodeId"":""7f019be8-0490-c3d9-0836-fa2b26afc136""}",4.20547530055046E-06,,,4.20547530055046E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-20136062-vmss_0"",""ContainerId"":""9d754042-3342-4e09-a697-aa97700e772f"",""NodeId"":""a488c749-c63f-4f58-919e-b8b882153968""}",4.69855964183807E-07,,,4.69855964183807E-07
