,experiment,cost,size
1,google/gke/cpu,12.65915196050008,64
3,google/gke/cpu,12.562116081831189,64
5,google/gke/cpu,13.92979556545681,64
7,google/gke/cpu,12.627314634450276,64
9,google/gke/cpu,12.563151182047523,64
107,google/compute-engine/cpu,15.23434706149631,64
209,on-premises/dane/cpu,,64
211,on-premises/dane/cpu,,64
213,on-premises/dane/cpu,,64
215,on-premises/dane/cpu,,64
217,on-premises/dane/cpu,,64
249,on-premises/lassen/gpu,,64
251,on-premises/lassen/gpu,,64
253,on-premises/lassen/gpu,,64
255,on-premises/lassen/gpu,,64
257,on-premises/lassen/gpu,,64
291,aws/eks/cpu,5.555153894042968,64
293,aws/eks/cpu,5.490050720214843,64
295,aws/eks/cpu,5.499035083007812,64
297,aws/eks/cpu,5.575763500976562,64
299,aws/eks/cpu,5.3868894775390626,64
389,aws/parallel-cluster/cpu,3.7888,64
391,aws/parallel-cluster/cpu,3.9936,64
393,aws/parallel-cluster/cpu,3.7375999999999996,64
395,aws/parallel-cluster/cpu,3.7375999999999996,64
397,aws/parallel-cluster/cpu,3.8912,64
429,azure/cyclecloud/cpu,10.624,64
431,azure/cyclecloud/cpu,10.751999999999999,64
433,azure/cyclecloud/cpu,12.352000000000002,64
435,azure/cyclecloud/cpu,11.584,64
437,azure/cyclecloud/cpu,11.264,64
581,azure/aks/cpu,14.135966384887695,64
583,azure/aks/cpu,13.95385383605957,64
585,azure/aks/cpu,14.71809066772461,64
587,azure/aks/cpu,14.144182662963868,64
589,azure/aks/cpu,14.025785675048827,64
11,google/gke/cpu,9.50243712688022,32
13,google/gke/cpu,9.687629290856254,32
15,google/gke/cpu,9.419284755325316,32
17,google/gke/cpu,9.540608707343207,32
33,google/gke/gpu,4.045082548692491,32
35,google/gke/gpu,5.07151524319119,32
37,google/gke/gpu,6.433011680094401,32
39,google/gke/gpu,6.433088068305122,32
41,google/gke/gpu,5.041419476318359,32
43,google/gke/gpu,5.048583878580729,32
45,google/gke/gpu,6.287910961914062,32
47,google/gke/gpu,5.032764885118272,32
49,google/gke/gpu,6.468337786865234,32
51,google/gke/gpu,5.846265912543402,32
109,google/compute-engine/cpu,12.446269702233208,32
111,google/compute-engine/cpu,13.96341223742167,32
113,google/compute-engine/cpu,13.074804148652817,32
115,google/compute-engine/cpu,12.409453298144868,32
117,google/compute-engine/cpu,12.77449500940111,32
139,google/compute-engine/gpu,5.046085840521918,32
141,google/compute-engine/gpu,6.695434541151259,32
143,google/compute-engine/gpu,5.0821266696506076,32
145,google/compute-engine/gpu,6.460534258355034,32
147,google/compute-engine/gpu,4.99066443617079,32
149,google/compute-engine/gpu,6.3734192715115014,32
151,google/compute-engine/gpu,5.198031298828124,32
153,google/compute-engine/gpu,6.596411855061849,32
155,google/compute-engine/gpu,5.62071221991645,32
157,google/compute-engine/gpu,6.549039480929905,32
219,on-premises/dane/cpu,,32
221,on-premises/dane/cpu,,32
223,on-premises/dane/cpu,,32
225,on-premises/dane/cpu,,32
227,on-premises/dane/cpu,,32
259,on-premises/lassen/gpu,,32
261,on-premises/lassen/gpu,,32
263,on-premises/lassen/gpu,,32
265,on-premises/lassen/gpu,,32
267,on-premises/lassen/gpu,,32
301,aws/eks/cpu,3.9929236145019527,32
303,aws/eks/cpu,3.8783250915527345,32
305,aws/eks/cpu,3.901597424316406,32
307,aws/eks/cpu,4.0113455078125,32
309,aws/eks/cpu,3.8703645019531248,32
399,aws/parallel-cluster/cpu,3.4048000000000003,32
401,aws/parallel-cluster/cpu,3.4304,32
403,aws/parallel-cluster/cpu,4.3776,32
405,aws/parallel-cluster/cpu,3.6096,32
407,aws/parallel-cluster/cpu,3.4304,32
439,azure/cyclecloud/cpu,5.152,32
441,azure/cyclecloud/cpu,7.5200000000000005,32
443,azure/cyclecloud/cpu,8.224,32
445,azure/cyclecloud/cpu,6.24,32
447,azure/cyclecloud/cpu,6.176000000000001,32
483,azure/cyclecloud/gpu,3.328977777777778,32
485,azure/cyclecloud/gpu,2.154044444444444,32
487,azure/cyclecloud/gpu,3.328977777777778,32
489,azure/cyclecloud/gpu,2.154044444444444,32
491,azure/cyclecloud/gpu,3.328977777777778,32
493,azure/cyclecloud/gpu,2.154044444444444,32
495,azure/cyclecloud/gpu,3.328977777777778,32
497,azure/cyclecloud/gpu,2.154044444444444,32
499,azure/cyclecloud/gpu,3.328977777777778,32
501,azure/cyclecloud/gpu,2.154044444444444,32
563,azure/aks/cpu,7.349510581970215,32
565,azure/aks/cpu,7.407677261352539,32
567,azure/aks/cpu,8.139448081970214,32
569,azure/aks/cpu,7.46424488067627,32
571,azure/aks/cpu,7.380399978637697,32
591,azure/aks/gpu,4.373153366512723,32
593,azure/aks/gpu,2.9246972725550338,32
595,azure/aks/gpu,2.8814869598812534,32
597,azure/aks/gpu,4.3948484199312,32
599,azure/aks/gpu,4.354473028416105,32
601,azure/aks/gpu,4.3779846985287145,32
603,azure/aks/gpu,4.367137942165798,32
605,azure/aks/gpu,2.910031886121962,32
607,azure/aks/gpu,2.894667071914673,32
609,azure/aks/gpu,2.8910620378706193,32
19,google/gke/cpu,23.24893186018202,128
21,google/gke/cpu,23.544794055514867,128
23,google/gke/cpu,24.197630730353456,128
25,google/gke/cpu,23.37289059617784,128
27,google/gke/cpu,23.137711571926538,128
119,google/compute-engine/cpu,19.63447231428358,128
121,google/compute-engine/cpu,19.458791467285153,128
123,google/compute-engine/cpu,22.47488158925374,128
125,google/compute-engine/cpu,20.206413364664712,128
127,google/compute-engine/cpu,19.60626679314507,128
229,on-premises/dane/cpu,,128
231,on-premises/dane/cpu,,128
233,on-premises/dane/cpu,,128
235,on-premises/dane/cpu,,128
237,on-premises/dane/cpu,,128
311,aws/eks/cpu,11.131776708984376,128
313,aws/eks/cpu,11.091283081054687,128
315,aws/eks/cpu,11.545311669921874,128
317,aws/eks/cpu,11.07125283203125,128
319,aws/eks/cpu,11.264951489257813,128
409,aws/parallel-cluster/cpu,4.608,128
411,aws/parallel-cluster/cpu,5.12,128
413,aws/parallel-cluster/cpu,4.608,128
415,aws/parallel-cluster/cpu,4.608,128
417,aws/parallel-cluster/cpu,4.608,128
449,azure/cyclecloud/cpu,11.264,128
451,azure/cyclecloud/cpu,8.96,128
453,azure/cyclecloud/cpu,8.448,128
455,azure/cyclecloud/cpu,7.424,128
457,azure/cyclecloud/cpu,8.448,128
459,azure/cyclecloud/cpu,9.6,128
573,azure/aks/cpu,38.41979861450195,128
575,azure/aks/cpu,37.892446044921876,128
577,azure/aks/cpu,37.85043792724609,128
29,google/gke/cpu,133.82259554341633,256
31,google/gke/cpu,133.59172703823512,256
129,google/compute-engine/cpu,45.63280973239475,256
131,google/compute-engine/cpu,41.01307195739746,256
133,google/compute-engine/cpu,41.84538355272081,256
135,google/compute-engine/cpu,42.25812042914496,256
137,google/compute-engine/cpu,44.74773241136339,256
239,on-premises/dane/cpu,,256
241,on-premises/dane/cpu,,256
243,on-premises/dane/cpu,,256
