,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,matom_steps_per_second,31.177,0
1,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,duration,140.72673869132996,0
2,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,matom_steps_per_second,31.379,0
3,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,duration,139.64802956581116,0
4,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,matom_steps_per_second,28.059,0
5,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,duration,154.85197639465332,0
6,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,matom_steps_per_second,31.16,0
7,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,duration,140.37281584739685,0
8,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,matom_steps_per_second,31.53,0
9,google/gke/cpu,google,gke,cpu,64,lammps,64x64x32,duration,139.65953636169434,0
10,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,matom_steps_per_second,19.876,0
11,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,duration,211.26960015296936,0
12,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,matom_steps_per_second,19.475,0
13,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,duration,215.38701486587524,0
14,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,matom_steps_per_second,20.025,0
15,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,duration,209.42085671424866,0
16,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,matom_steps_per_second,19.814,0
17,google/gke/cpu,google,gke,cpu,32,lammps,64x64x32,duration,212.11827659606934,0
18,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,matom_steps_per_second,40.177,0
19,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,duration,129.22454714775085,0
20,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,matom_steps_per_second,40.01,0
21,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,duration,130.869038105011,0
22,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,matom_steps_per_second,38.647,0
23,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,duration,134.49770045280457,0
24,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,matom_steps_per_second,40.499,0
25,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,duration,129.91354703903198,0
26,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,matom_steps_per_second,40.855,0
27,google/gke/cpu,google,gke,cpu,128,lammps,64x64x32,duration,128.60635137557983,0
28,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,matom_steps_per_second,14.847,0
29,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,duration,371.9130928516388,0
30,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,matom_steps_per_second,14.927,0
31,google/gke/cpu,google,gke,cpu,256,lammps,64x64x32,duration,371.27147459983826,0
32,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,matom_steps_per_second,152.935,256
33,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,duration,19.480812788009644,256
34,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,matom_steps_per_second,128.639,256
35,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,duration,24.42403531074524,256
36,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,matom_steps_per_second,194.667,256
37,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,duration,30.980899572372437,256
38,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,matom_steps_per_second,194.69,256
39,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,duration,30.98126745223999,256
40,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,matom_steps_per_second,128.842,256
41,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,duration,24.279096364974976,256
42,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,matom_steps_per_second,128.898,256
43,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,duration,24.313599586486816,256
44,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,matom_steps_per_second,195.028,256
45,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,duration,30.282105445861816,256
46,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,matom_steps_per_second,129.903,256
47,google/gke/gpu,google,gke,gpu,32,lammps,64x32x32,duration,24.2374165058136,256
48,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,matom_steps_per_second,193.988,256
49,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,duration,31.15102744102478,256
50,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,matom_steps_per_second,198.972,256
51,google/gke/gpu,google,gke,gpu,32,lammps,64x64x32,duration,28.155176162719727,256
52,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,70.692,64
53,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,40.420807123184204,64
54,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,matom_steps_per_second,77.102,64
55,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,duration,67.73654365539551,64
56,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,matom_steps_per_second,77.723,64
57,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,duration,67.93356227874756,64
58,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,matom_steps_per_second,77.253,64
59,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,duration,68.17432951927185,64
60,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,69.731,64
61,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,40.79453492164612,64
62,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,69.883,64
63,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,36.97917819023132,64
64,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,matom_steps_per_second,76.751,64
65,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,duration,68.56634712219238,64
66,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,70.038,64
67,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,40.757232904434204,64
68,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,matom_steps_per_second,78.733,64
69,google/gke/gpu,google,gke,gpu,8,lammps,64x64x32,duration,65.87056398391724,64
70,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,69.245,64
71,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,39.793537616729736,64
72,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,matom_steps_per_second,69.891,64
73,google/gke/gpu,google,gke,gpu,8,lammps,64x32x32,duration,39.539764642715454,64
74,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,matom_steps_per_second,102.706,128
75,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,duration,26.832635402679443,128
76,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,matom_steps_per_second,122.512,128
77,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,duration,44.736016273498535,128
78,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,matom_steps_per_second,99.021,128
79,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,duration,29.640106678009033,128
80,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,matom_steps_per_second,99.864,128
81,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,duration,29.32980990409851,128
82,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,matom_steps_per_second,123.32,128
83,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,duration,43.826072216033936,128
84,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,matom_steps_per_second,123.355,128
85,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,duration,43.20056939125061,128
86,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,matom_steps_per_second,100.063,128
87,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,duration,30.020556449890137,128
88,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,matom_steps_per_second,121.651,128
89,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,duration,44.231717586517334,128
90,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,matom_steps_per_second,123.258,128
91,google/gke/gpu,google,gke,gpu,16,lammps,64x64x32,duration,44.55011487007141,128
92,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,matom_steps_per_second,98.299,128
93,google/gke/gpu,google,gke,gpu,16,lammps,64x32x32,duration,30.969188451766968,128
94,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,41.832,32
95,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,63.13030290603638,32
96,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,41.243,32
97,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,64.41558170318604,32
98,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,41.187,32
99,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,64.46191787719727,32
100,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,41.127,32
101,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,65.1929223537445,32
102,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,41.357,32
103,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,58.59995460510254,32
104,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,matom_steps_per_second,43.769,32
105,google/gke/gpu,google,gke,gpu,4,lammps,64x32x32,duration,55.64991569519043,32
106,google/compute-engine/cpu,google,compute-engine,cpu,64,lammps,64x64x32,matom_steps_per_second,25.126,0
107,google/compute-engine/cpu,google,compute-engine,cpu,64,lammps,64x64x32,duration,169.354154586792,0
108,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,matom_steps_per_second,14.888,0
109,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,duration,276.72042322158813,0
110,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,matom_steps_per_second,13.207,0
111,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,duration,310.4513590335846,0
112,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,matom_steps_per_second,14.122,0
113,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,duration,290.69475626945496,0
114,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,matom_steps_per_second,14.917,0
115,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,duration,275.90187668800354,0
116,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,matom_steps_per_second,14.565,0
117,google/compute-engine/cpu,google,compute-engine,cpu,32,lammps,64x64x32,duration,284.0179226398468,0
118,google/compute-engine/cpu,google,compute-engine,cpu,128,lammps,64x64x32,matom_steps_per_second,46.059,0
119,google/compute-engine/cpu,google,compute-engine,cpu,128,lammps,64x64x32,duration,109.13429522514343,0
120,google/compute-engine/cpu,google,compute-engine,cpu,128,lammps,64x64x32,matom_steps_per_second,46.762,0
121,google/compute-engine/cpu,google,compute-engine,cpu,128,lammps,64x64x32,duration,108.15780830383301,0
122,google/compute-engine/cpu,google,compute-engine,cpu,128,lammps,64x64x32,matom_steps_per_second,39.009,0
