,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,140439,0
1,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,146703,0
2,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,151454,0
3,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,111232,0
4,google/gke/cpu,google,gke,cpu,64,minife,230nx-ny-nz,total_cg_mflops,114288,0
5,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,61036.9,0
6,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,59401.3,0
7,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,56134.9,0
8,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,77572.2,0
9,google/gke/cpu,google,gke,cpu,128,minife,230nx-ny-nz,total_cg_mflops,57058.6,0
10,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,302569,256
11,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,304410,256
12,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,326798,256
13,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,298266,256
14,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,161636,256
15,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,304438,256
16,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,535932,256
17,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,334807,256
18,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,301958,256
19,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,541004,256
20,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,305164,256
21,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,295194,256
22,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,319786,256
23,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,322040,256
24,google/gke/gpu,google,gke,gpu,32,minife,230nx-ny-nz,total_cg_mflops,333409,256
25,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,327556,64
26,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,189026,64
27,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,308441,64
28,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,257808,64
29,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,262357,64
30,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,357560,64
31,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,316845,64
32,google/gke/gpu,google,gke,gpu,8,minife,230nx-ny-nz,total_cg_mflops,335236,64
