Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    4.88,    6.87,  27.48,      0.125,   12.25,    2.74,  21.91,      0.500,    4.91,   13.66,  27.31,     0.250,    4.93,    6.81,  27.25
            0,      0.250,    5.49,    6.11,  24.44,      0.125,   12.28,    2.73,  21.85,      0.500,    5.50,   12.21,  24.42,     0.250,    5.46,    6.14,  24.57
            0,      0.250,    4.94,    6.79,  27.18,      0.125,   12.40,    2.71,  21.65,      0.500,    4.95,   13.55,  27.11,     0.250,    4.82,    6.96,  27.85
            1,      0.750,    5.00,   20.15,  26.87,      0.375,   12.36,    8.15,  21.72,      1.500,    5.00,   40.23,  26.82,     0.750,    4.92,   20.47,  27.30
            0,      0.250,    5.63,    5.96,  23.85,      0.125,   12.46,    2.69,  21.54,      0.500,    5.68,   11.82,  23.63,     0.250,    5.63,    5.96,  23.84
            0,      0.250,    4.93,    6.81,  27.23,      0.125,   12.57,    2.67,  21.35,      0.500,    4.94,   13.60,  27.19,     0.250,    4.93,    6.81,  27.25
            0,      0.250,    5.61,    5.98,  23.91,      0.125,   12.50,    2.68,  21.47,      0.500,    5.63,   11.91,  23.83,     0.250,    5.63,    5.96,  23.82
            0,      0.250,    4.77,    7.04,  28.15,      0.125,   12.50,    2.68,  21.47,      0.500,    4.82,   13.92,  27.83,     0.250,    4.83,    6.94,  27.77
            1,      0.750,    5.56,   18.11,  24.15,      0.375,   12.30,    8.19,  21.83,      1.500,    5.51,   36.56,  24.37,     0.750,    5.53,   18.22,  24.29
            1,      0.750,    4.95,   20.33,  27.11,      0.375,   12.45,    8.09,  21.56,      1.500,    4.97,   40.51,  27.01,     0.750,    4.91,   20.50,  27.33
            1,      0.750,    5.64,   17.84,  23.79,      0.375,   12.47,    8.07,  21.52,      1.500,    5.72,   35.18,  23.46,     0.750,    5.60,   17.98,  23.97
            2,      1.250,    4.95,   33.87,  27.09,      0.625,   12.26,   13.69,  21.90,      2.500,    5.00,   67.09,  26.84,     1.250,    4.95,   33.90,  27.12
            1,      0.750,    4.88,   20.62,  27.49,      0.375,   12.54,    8.03,  21.41,      1.500,    5.04,   39.98,  26.65,     0.750,    4.85,   20.75,  27.67
            1,      0.750,    4.70,   21.40,  28.54,      0.375,   12.56,    8.01,  21.37,      1.500,    4.82,   41.75,  27.83,     0.750,    4.78,   21.07,  28.10
            2,      1.250,    4.94,   33.99,  27.19,      0.625,   12.44,   13.49,  21.59,      2.500,    4.93,   68.08,  27.23,     1.250,    4.90,   34.24,  27.39
            1,      0.750,    5.63,   17.88,  23.84,      0.375,   12.50,    8.05,  21.48,      1.500,    5.69,   35.40,  23.60,     0.750,    5.59,   18.01,  24.01
            2,      1.250,    5.46,   30.72,  24.58,      0.625,   12.30,   13.64,  21.82,      2.500,    5.51,   60.86,  24.34,     1.250,    5.39,   31.11,  24.89
            0,      0.250,    5.48,    6.12,  24.48,      0.125,   12.50,    2.68,  21.47,      0.500,    5.47,   12.28,  24.55,     0.250,    5.39,    6.23,  24.91
            2,      1.250,    5.61,   29.90,  23.92,      0.625,   12.49,   13.43,  21.49,      2.500,    5.67,   59.20,  23.68,     1.250,    5.60,   29.96,  23.97
            3,      1.750,    5.13,   45.75,  26.14,      0.875,   12.34,   19.04,  21.75,      3.500,    5.13,   91.51,  26.15,     1.750,    5.12,   45.88,  26.22
            2,      1.250,    4.86,   34.53,  27.62,      0.625,   12.51,   13.41,  21.46,      2.500,    4.87,   68.91,  27.57,     1.250,    4.85,   34.57,  27.66
            2,      1.250,    4.83,   34.77,  27.82,      0.625,   12.46,   13.46,  21.54,      2.500,    4.99,   67.23,  26.89,     1.250,    4.92,   34.10,  27.28
            3,      1.750,    5.10,   46.08,  26.33,      0.875,   12.45,   18.87,  21.56,      3.500,    5.15,   91.20,  26.06,     1.750,    5.07,   46.36,  26.49
            3,      1.750,    5.57,   42.15,  24.09,      0.875,   12.27,   19.15,  21.88,      3.500,    5.62,   83.56,  23.87,     1.750,    5.58,   42.08,  24.05
            1,      0.750,    5.41,   18.60,  24.80,      0.375,   12.51,    8.05,  21.46,      1.500,    5.50,   36.63,  24.42,     0.750,    5.46,   18.43,  24.57
            2,      1.250,    5.58,   30.07,  24.06,      0.625,   12.55,   13.37,  21.39,      2.500,    5.64,   59.51,  23.81,     1.250,    5.62,   29.84,  23.87
            3,      1.750,    5.75,   40.87,  23.36,      0.875,   12.44,   18.88,  21.58,      3.500,    5.75,   81.73,  23.35,     1.750,    5.68,   41.33,  23.62
            4,      2.250,    5.18,   58.35,  25.93,      1.125,   12.26,   24.63,  21.89,      4.500,    5.26,  114.86,  25.53,     2.250,    5.13,   58.88,  26.17
            3,      1.750,    4.93,   47.65,  27.23,      0.875,   12.51,   18.78,  21.46,      3.500,    5.05,   93.02,  26.58,     1.750,    4.96,   47.39,  27.08
            4,      2.250,    5.63,   53.60,  23.82,      1.125,   12.43,   24.30,  21.60,      4.500,    5.68,  106.43,  23.65,     2.250,    5.65,   53.42,  23.74
            3,      1.750,    5.01,   46.91,  26.80,      0.875,   12.49,   18.81,  21.49,      3.500,    5.14,   91.48,  26.14,     1.750,    5.10,   46.07,  26.32
            4,      2.250,    5.21,   57.97,  25.77,      1.125,   12.37,   24.41,  21.70,      4.500,    5.19,  116.45,  25.88,     2.250,    5.18,   58.32,  25.92
            2,      1.250,    5.40,   31.08,  24.86,      0.625,   12.46,   13.46,  21.54,      2.500,    5.49,   61.15,  24.46,     1.250,    5.42,   30.93,  24.74
            3,      1.750,    5.68,   41.36,  23.63,      0.875,   12.45,   18.86,  21.55,      3.500,    5.73,   82.02,  23.44,     1.750,    5.61,   41.87,  23.93
            4,      2.250,    5.73,   52.69,  23.42,      1.125,   12.47,   24.22,  21.53,      4.500,    5.78,  104.49,  23.22,     2.250,    5.79,   52.20,  23.20
            5,      2.750,    5.21,   70.81,  25.75,      1.375,   12.44,   29.67,  21.58,      5.500,    5.24,  140.97,  25.63,     2.750,    5.90,   62.53,  22.74
            4,      2.250,    5.11,   59.04,  26.24,      1.125,   12.41,   24.33,  21.63,      4.500,    5.05,  119.57,  26.57,     2.250,    5.11,   59.10,  26.27
            4,      2.250,    5.12,   58.95,  26.20,      1.125,   12.47,   24.22,  21.53,      4.500,    5.21,  115.95,  25.77,     2.250,    5.14,   58.70,  26.09
            5,      2.750,    5.69,   64.89,  23.60,      1.375,   12.32,   29.96,  21.79,      5.500,    5.69,  129.82,  23.60,     2.750,    6.55,   56.36,  20.49
            3,      1.750,    5.50,   42.72,  24.41,      0.875,   12.49,   18.80,  21.49,      3.500,    5.58,   84.11,  24.03,     1.750,    5.63,   41.72,  23.84
            5,      2.750,    5.21,   70.80,  25.75,      1.375,   12.48,   29.58,  21.51,      5.500,    5.21,  141.77,  25.78,     2.750,    5.69,   64.88,  23.59
            6,      3.250,    5.19,   84.00,  25.85,      1.625,   12.41,   35.16,  21.64,      6.500,    5.27,  165.66,  25.49,     3.250,    5.87,   74.29,  22.86
            4,      2.250,    5.73,   52.75,  23.44,      1.125,   12.49,   24.18,  21.49,      4.500,    5.74,  105.14,  23.36,     2.250,    5.74,   52.65,  23.40
            5,      2.750,    5.80,   63.63,  23.14,      1.375,   12.52,   29.49,  21.45,      5.500,    5.80,  127.28,  23.14,     2.750,    5.91,   62.40,  22.69
            5,      2.750,    5.11,   72.25,  26.27,      1.375,   12.46,   29.63,  21.55,      5.500,    5.14,  143.72,  26.13,     2.750,    5.52,   66.81,  24.30
            5,      2.750,    5.22,   70.75,  25.73,      1.375,   12.51,   29.51,  21.46,      5.500,    5.16,  142.95,  25.99,     2.750,    5.64,   65.39,  23.78
            6,      3.250,    5.68,   76.84,  23.64,      1.625,   12.40,   35.18,  21.65,      6.500,    5.71,  152.68,  23.49,     3.250,    6.53,   66.84,  20.57
            4,      2.250,    5.62,   53.74,  23.88,      1.125,   12.45,   24.25,  21.55,      4.500,    5.64,  107.08,  23.80,     2.250,    5.68,   53.16,  23.63
            6,      3.250,    5.13,   85.08,  26.18,      1.625,   12.47,   34.98,  21.52,      6.500,    5.22,  166.99,  25.69,     3.250,    5.54,   78.70,  24.21
            5,      2.750,    5.80,   63.65,  23.15,      1.375,   12.51,   29.50,  21.46,      5.500,    5.79,  127.48,  23.18,     2.750,    5.98,   61.69,  22.43
            7,      3.750,    5.18,   97.23,  25.93,      1.875,   12.44,   40.47,  21.59,      7.500,    5.33,  188.97,  25.20,     3.750,    5.81,   86.64,  23.10
            6,      3.250,    5.79,   75.30,  23.17,      1.625,   12.57,   34.70,  21.36,      6.500,    5.83,  149.63,  23.02,     3.250,    5.84,   74.67,  22.97
            6,      3.250,    5.05,   86.37,  26.58,      1.625,   12.47,   34.99,  21.53,      6.500,    5.17,  168.87,  25.98,     3.250,    5.56,   78.45,  24.14
            6,      3.250,    5.19,   84.05,  25.86,      1.625,   12.47,   34.99,  21.53,      6.500,    5.18,  168.34,  25.90,     3.250,    5.65,   77.14,  23.74
            7,      3.750,    5.66,   88.95,  23.72,      1.875,   12.39,   40.63,  21.67,      7.500,    5.75,  175.17,  23.36,     3.750,    6.55,   76.80,  20.48
            7,      3.750,    5.19,   96.95,  25.85,      1.875,   12.47,   40.35,  21.52,      7.500,    5.26,  191.51,  25.54,     3.750,    5.58,   90.24,  24.06
            5,      2.750,    5.63,   65.58,  23.85,      1.375,   12.46,   29.63,  21.55,      5.500,    5.62,  131.29,  23.87,     2.750,    6.33,   58.30,  21.20
            6,      3.250,    5.75,   75.85,  23.34,      1.625,   12.48,   34.94,  21.50,      6.500,    5.81,  150.29,  23.12,     3.250,    5.95,   73.31,  22.56
            8,      4.250,    5.03,  113.38,  26.68,      2.125,   12.39,   46.03,  21.66,      8.500,    5.27,  216.58,  25.48,     4.250,    5.92,   96.34,  22.67
            7,      3.750,    5.81,   86.66,  23.11,      1.875,   12.48,   40.33,  21.51,      7.500,    5.80,  173.68,  23.16,     3.750,    5.73,   87.79,  23.41
            7,      3.750,    5.03,   99.98,  26.66,      1.875,   12.49,   40.31,  21.50,      7.500,    5.15,  195.47,  26.06,     3.750,    5.61,   89.71,  23.92
            8,      4.250,    5.68,  100.41,  23.63,      2.125,   12.46,   45.78,  21.54,      8.500,    5.73,  199.27,  23.44,     4.250,    6.64,   85.90,  20.21
            7,      3.750,    5.20,   96.87,  25.83,      1.875,   12.53,   40.17,  21.42,      7.500,    5.37,  187.32,  24.98,     3.750,    5.69,   88.50,  23.60
            8,      4.250,    5.19,  109.83,  25.84,      2.125,   12.48,   45.69,  21.50,      8.500,    5.27,  216.42,  25.46,     4.250,    5.66,  100.73,  23.70
            9,      4.750,    2.20,  289.58,  60.96,      2.375,   12.43,   51.28,  21.59,      9.500,    5.24,  243.15,  25.60,     4.750,    5.93,  107.45,  22.62
            6,      3.250,    5.66,   77.09,  23.72,      1.625,   12.51,   34.86,  21.45,      6.500,    5.71,  152.79,  23.51,     3.250,    6.31,   69.18,  21.28
            7,      3.750,    5.77,   87.30,  23.28,      1.875,   12.49,   40.31,  21.50,      7.500,    5.78,  174.08,  23.21,     3.750,    5.79,   86.96,  23.19
            8,      4.250,    1.93,  295.05,  69.42,      2.125,   12.54,   45.50,  21.41,      8.500,    4.99,  228.44,  26.88,     4.250,    5.62,  101.41,  23.86
            8,      4.250,    5.79,   98.54,  23.19,      2.125,   12.48,   45.72,  21.52,      8.500,    5.90,  193.52,  22.77,     4.250,    5.98,   95.42,  22.45
            9,      4.750,    5.62,  113.53,  23.90,      2.375,   12.36,   51.57,  21.71,      9.500,    5.75,  221.88,  23.36,     4.750,    6.66,   95.78,  20.16
           10,      5.250,    2.39,  294.83,  56.16,      2.625,   12.56,   56.12,  21.38,     10.500,    5.05,  279.05,  26.58,     5.250,    5.89,  119.70,  22.80
            8,      4.250,    4.97,  114.81,  27.01,      2.125,   12.49,   45.66,  21.49,      8.500,    5.21,  219.10,  25.78,     4.250,    5.67,  100.55,  23.66
            9,      4.750,    4.96,  128.61,  27.08,      2.375,   12.55,   50.79,  21.39,      9.500,    5.30,  240.62,  25.33,     4.750,    5.64,  113.08,  23.81
            7,      3.750,    5.66,   88.91,  23.71,      1.875,   12.57,   40.05,  21.36,      7.500,    5.71,  176.20,  23.49,     3.750,    6.41,   78.57,  20.95
            9,      4.750,    2.14,  297.61,  62.65,      2.375,   12.59,   50.65,  21.33,      9.500,    5.08,  251.05,  26.43,     4.750,    5.54,  115.02,  24.21
            9,      4.750,    5.40,  117.96,  24.83,      2.375,   12.60,   50.60,  21.30,      9.500,    5.88,  216.67,  22.81,     4.750,    6.11,  104.39,  21.98
            8,      4.250,    5.75,   99.12,  23.32,      2.125,   12.52,   45.56,  21.44,      8.500,    5.83,  195.73,  23.03,     4.250,    6.00,   95.11,  22.38
           11,      5.750,    2.58,  299.07,  52.01,      2.875,   12.51,   61.70,  21.46,     11.500,    4.85,  318.34,  27.68,     5.750,    6.03,  128.04,  22.27
            9,      4.750,    2.19,  291.48,  61.36,      2.375,   12.58,   50.69,  21.34,      9.500,    5.23,  243.68,  25.65,     4.750,    5.80,  109.98,  23.15
           10,      5.250,    2.39,  294.95,  56.18,      2.625,   12.59,   55.96,  21.32,     10.500,    2.32,  607.62,  57.87,     5.250,    5.65,  124.82,  23.78
           10,      5.250,    5.54,  127.20,  24.23,      2.625,   12.57,   56.05,  21.35,     10.500,    5.72,  246.33,  23.46,     5.250,    6.65,  106.03,  20.20
