Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.21,  319.57,1278.26,      0.125,    0.22,  149.80,1198.37,     0.250,    0.16,  424.74,1698.96
            1,      0.750,    0.22,  915.12,1220.16,      0.375,    0.20,  498.33,1328.89,     0.750,    0.19, 1070.89,1427.85
            0,      0.250,    0.24,  278.46,1113.84,      0.125,    0.24,  141.58,1132.64,     0.250,    0.19,  358.87,1435.48
            2,      1.250,    0.21, 1560.67,1248.54,      0.625,    0.20,  818.40,1309.44,     1.250,    0.18, 1853.84,1483.07
            1,      0.750,    0.23,  875.33,1167.11,      0.375,    0.23,  441.51,1177.35,     0.750,    0.20, 1011.69,1348.92
            3,      1.750,    0.21, 2215.86,1266.20,      0.875,    0.21, 1102.73,1260.26,     1.750,    0.18, 2567.01,1466.86
            2,      1.250,    0.23, 1478.17,1182.54,      0.625,    0.23,  742.35,1187.77,     1.250,    0.20, 1711.96,1369.57
            4,      2.250,    0.21, 2917.78,1296.79,      1.125,    0.20, 1473.12,1309.44,     2.250,    0.18, 3300.44,1466.86
            3,      1.750,    0.21, 2184.94,1248.54,      0.875,    0.21, 1113.18,1272.21,     1.750,    0.19, 2498.73,1427.85
            6,      3.250,    0.24, 3696.67,1137.44,      1.625,    0.23, 1904.84,1172.21,     3.250,    0.20, 4318.89,1328.89
            4,      2.250,    0.22, 2745.36,1220.16,      1.125,    0.20, 1480.34,1315.86,     2.250,    0.18, 3336.90,1483.07
            8,      4.250,    0.25, 4618.83,1086.78,      2.125,    0.26, 2236.96,1052.69,     4.250,    0.23, 5003.73,1177.35
            6,      3.250,    0.23, 3728.27,1147.16,      1.625,    0.23, 1872.14,1152.08,     3.250,    0.20, 4297.61,1322.34
           12,      6.250,    0.32, 5309.25, 849.48,      3.125,    0.31, 2688.66, 860.37,     6.250,    0.34, 4934.48, 789.52
            8,      4.250,    0.26, 4473.92,1052.69,      2.125,    0.25, 2272.61,1069.46,     4.250,    0.23, 5048.01,1187.77
           16,      8.250,    0.37, 5969.25, 723.55,      4.125,    0.37, 2984.63, 723.55,     8.250,    0.43, 5150.22, 624.27
           12,      6.250,    0.31, 5360.13, 857.62,      3.125,    0.31, 2688.66, 860.37,     6.250,    0.34, 4949.03, 791.85
           20,     10.250,    0.46, 6020.71, 587.39,      5.125,    0.46, 3010.35, 587.39,    10.250,    0.53, 5162.22, 503.63
           16,      8.250,    0.37, 5969.25, 723.55,      4.125,    0.37, 2984.63, 723.55,     8.250,    0.43, 5162.22, 625.72
           24,     12.250,    0.54, 6078.25, 496.18,      6.125,    0.54, 3022.37, 493.45,    12.250,    0.61, 5346.89, 436.48
           20,     10.250,    0.46, 6007.56, 586.10,      5.125,    0.46, 2990.72, 583.56,    10.250,    0.53, 5191.44, 506.48
           28,     14.250,    0.63, 6052.54, 424.74,      7.125,    0.63, 3055.28, 428.81,    14.250,    0.72, 5298.07, 371.79
           24,     12.250,    0.55, 6033.64, 492.54,      6.125,    0.54, 3044.75, 497.10,    12.250,    0.61, 5364.33, 437.90
           32,     16.250,    0.71, 6126.51, 377.02,      8.125,    0.72, 3020.83, 371.79,    16.250,    0.81, 5412.01, 333.05
           28,     14.250,    0.63, 6062.13, 425.41,      7.125,    0.63, 3050.40, 428.13,    14.250,    0.72, 5305.42, 372.31
