Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    5.39,    6.23,  24.92,      0.125,   12.02,    2.79,  22.34,      0.500,    5.37,   12.50,  25.01,     0.250,    5.37,    6.25,  24.99
            1,      0.750,    5.35,   18.81,  25.08,      0.375,   11.99,    8.39,  22.38,      1.500,    5.35,   37.64,  25.10,     0.750,    5.30,   18.98,  25.30
            2,      1.250,    5.33,   31.47,  25.17,      0.625,   12.04,   13.94,  22.30,      2.500,    5.37,   62.52,  25.01,     1.250,    5.37,   31.24,  24.99
            3,      1.750,    5.37,   43.72,  24.99,      0.875,   12.03,   19.52,  22.31,      3.500,    5.43,   86.46,  24.70,     1.750,    5.40,   43.49,  24.85
            4,      2.250,    5.47,   55.19,  24.53,      1.125,   12.01,   25.14,  22.35,      4.500,    5.44,  111.08,  24.68,     2.250,    5.46,   55.29,  24.57
            5,      2.750,    5.54,   66.64,  24.23,      1.375,   12.00,   30.77,  22.37,      5.500,    5.50,  134.32,  24.42,     2.750,    5.46,   67.65,  24.60
            6,      3.250,    5.51,   79.22,  24.38,      1.625,   11.99,   36.37,  22.38,      6.500,    5.47,  159.60,  24.55,     3.250,    5.45,   80.09,  24.64
            7,      3.750,    5.57,   90.39,  24.10,      1.875,   12.01,   41.91,  22.35,      7.500,    5.53,  182.01,  24.27,     3.750,    5.43,   92.63,  24.70
            8,      4.250,    5.56,  102.53,  24.13,      2.125,   12.00,   47.54,  22.37,      8.500,    5.57,  204.99,  24.12,     4.250,    5.48,  104.18,  24.51
            9,      4.750,    5.48,  116.24,  24.47,      2.375,   12.01,   53.09,  22.35,      9.500,    5.57,  229.10,  24.12,     4.750,    5.53,  115.36,  24.29
           10,      5.250,    5.35,  131.77,  25.10,      2.625,   12.04,   58.52,  22.29,     10.500,    5.60,  251.55,  23.96,     5.250,    5.48,  128.67,  24.51
           11,      5.750,    5.19,  148.68,  25.86,      2.875,   12.03,   64.14,  22.31,     11.500,    5.69,  271.49,  23.61,     5.750,    5.56,  138.80,  24.14
           12,      6.250,    2.39,  350.99,  56.16,      3.125,   12.09,   69.39,  22.20,     12.500,    5.61,  299.03,  23.92,     6.250,    5.61,  149.63,  23.94
