,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.97144842147827,0
1,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.7105884552002,0
2,google/gke/cpu,google,gke,cpu,64,mixbench,duration,284.21550726890564,0
3,google/gke/cpu,google,gke,cpu,64,mixbench,duration,285.2711822986603,0
4,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1979138851166,0
5,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.74937534332275,0
6,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.5674753189087,0
7,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.76754665374756,0
8,google/gke/cpu,google,gke,cpu,64,mixbench,duration,284.2675335407257,0
9,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.0059781074524,0
10,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.5041596889496,0
11,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.6384530067444,0
12,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.06449699401855,0
13,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.16498494148254,0
14,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.33233428001404,0
15,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.0228793621063,0
16,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.38576459884644,0
17,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.17087268829346,0
18,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.36311435699463,0
19,google/gke/cpu,google,gke,cpu,64,mixbench,duration,284.10964274406433,0
20,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.25556540489197,0
21,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.591952085495,0
22,google/gke/cpu,google,gke,cpu,64,mixbench,duration,286.1143436431885,0
23,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.152382850647,0
24,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.13011479377747,0
25,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.2557282447815,0
26,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.26900148391724,0
27,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.6089382171631,0
28,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1767928600311,0
29,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.8303861618042,0
30,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.52004885673523,0
31,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.8397493362427,0
32,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1819233894348,0
33,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.8085505962372,0
34,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.8935034275055,0
35,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1137647628784,0
36,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.5857081413269,0
37,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.23621940612793,0
38,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.09942841529846,0
39,google/gke/cpu,google,gke,cpu,64,mixbench,duration,283.6980257034302,0
40,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.8025588989258,0
41,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.26426362991333,0
42,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.18073773384094,0
43,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.59984588623047,0
44,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.62471652030945,0
45,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.8228967189789,0
46,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.94429540634155,0
47,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.1282389163971,0
48,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.68892788887024,0
49,google/gke/cpu,google,gke,cpu,64,mixbench,duration,281.5320773124695,0
50,google/gke/cpu,google,gke,cpu,64,mixbench,duration,280.6995840072632,0
51,google/gke/cpu,google,gke,cpu,64,mixbench,duration,282.37316942214966,0
