,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
0,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,370.99,0
1,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,12.30020785331726,0
2,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,385.2,0
3,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,11.83256459236145,0
4,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,395.87,0
5,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,11.270650863647461,0
6,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,397.76,0
7,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,11.655351638793945,0
8,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,29.943498373031616,0
9,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,381.04,0
10,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,11.551448345184326,0
11,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,28.790347814559937,0
12,google/gke/cpu,google,gke,cpu,64,mt-gemm,performance_gflops_per_second,398.38,0
13,google/gke/cpu,google,gke,cpu,64,mt-gemm,duration,11.36851716041565,0
14,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,419.1,0
15,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,7.547412872314453,0
16,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,403.57,0
17,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,7.902338266372681,0
18,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,388.04,0
19,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,7.964132308959961,0
20,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,386.64,0
21,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,8.279686689376831,0
22,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,28.825637340545654,0
23,google/gke/cpu,google,gke,cpu,32,mt-gemm,performance_gflops_per_second,405.33,0
24,google/gke/cpu,google,gke,cpu,32,mt-gemm,duration,7.7373692989349365,0
25,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,374.89,0
26,google/gke/cpu,google,gke,cpu,128,mt-gemm,duration,31.1186420917511,0
27,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,364.51,0
28,google/gke/cpu,google,gke,cpu,128,mt-gemm,duration,32.33378863334656,0
29,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,376.74,0
30,google/gke/cpu,google,gke,cpu,128,mt-gemm,duration,31.41605520248413,0
31,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,369.96,0
32,google/gke/cpu,google,gke,cpu,128,mt-gemm,duration,31.23479175567627,0
33,google/gke/cpu,google,gke,cpu,128,mt-gemm,performance_gflops_per_second,375.21,0
34,google/gke/cpu,google,gke,cpu,128,mt-gemm,duration,31.18135690689087,0
35,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,350.95,0
36,google/gke/cpu,google,gke,cpu,256,mt-gemm,duration,96.75141716003418,0
37,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,347.39,0
38,google/gke/cpu,google,gke,cpu,256,mt-gemm,duration,99.06703543663025,0
39,google/gke/cpu,google,gke,cpu,256,mt-gemm,performance_gflops_per_second,354.79,0
40,google/gke/cpu,google,gke,cpu,256,mt-gemm,duration,97.26966285705566,0
41,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994642.144588,256
42,google/gke/gpu,google,gke,gpu,32,mt-gemm,duration,127.38328838348389,256
43,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994858.940595,256
44,google/gke/gpu,google,gke,gpu,32,mt-gemm,duration,127.43692946434021,256
45,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994772.021069,256
46,google/gke/gpu,google,gke,gpu,32,mt-gemm,duration,127.44953465461731,256
47,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1996029.270294,256
48,google/gke/gpu,google,gke,gpu,32,mt-gemm,duration,127.35009455680847,256
49,google/gke/gpu,google,gke,gpu,32,mt-gemm,gflops_per_second_rate,1994994.660072,256
50,google/gke/gpu,google,gke,gpu,32,mt-gemm,duration,127.46222496032715,256
51,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499557.500812,64
52,google/gke/gpu,google,gke,gpu,8,mt-gemm,duration,127.54292416572571,64
53,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499663.370228,64
54,google/gke/gpu,google,gke,gpu,8,mt-gemm,duration,126.79114294052124,64
55,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499658.744719,64
56,google/gke/gpu,google,gke,gpu,8,mt-gemm,duration,127.70960974693298,64
57,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499597.91164,64
58,google/gke/gpu,google,gke,gpu,8,mt-gemm,duration,127.82007694244385,64
59,google/gke/gpu,google,gke,gpu,8,mt-gemm,gflops_per_second_rate,499527.981313,64
60,google/gke/gpu,google,gke,gpu,8,mt-gemm,duration,127.51269817352295,64
61,google/gke/gpu,google,gke,gpu,16,mt-gemm,gflops_per_second_rate,998298.92139,128
62,google/gke/gpu,google,gke,gpu,16,mt-gemm,duration,127.23193359375,128
63,google/gke/gpu,google,gke,gpu,16,mt-gemm,gflops_per_second_rate,998392.297632,128
64,google/gke/gpu,google,gke,gpu,16,mt-gemm,duration,127.47157645225525,128
65,google/gke/gpu,google,gke,gpu,16,mt-gemm,gflops_per_second_rate,997950.399468,128
